Device ID,Time [UTC+00:00],PM1 1-Hour Mean Mass Concentration Calibrated [ug/m3],PM1 1-Hour Mean Mass Concentration Raw [ug/m3],PM1 1-Hour Mean Number Concentration [#/cm3],PM2.5 1-Hour Mean Mass Concentration Calibrated [ug/m3],PM2.5 1-Hour Mean Mass Concentration Raw [ug/m3],PM2.5 1-Hour Mean Number Concentration [#/cm3],PM2.5 NowCast Mass Concentration [ug/m3],PM2.5 NowCast AQI (US EPA),PM2.5 24-Hour Rolling Mean Mass Concentration Calibrated [ug/m3],PM2.5 24-Hour Rolling Mean Mass Concentration Raw [ug/m3],PM2.5 24-Hour Rolling Mean Number Concentration [#/cm3],PM2.5 1-Hour Mean AQI (WA DWER),PM10 1-Hour Mean Mass Concentration Calibrated [ug/m3],PM10 1-Hour Mean Mass Concentration Raw [ug/m3],PM10 1-Hour Mean Number Concentration [#/cm3],PM10 24-Hour Rolling Mean Mass Concentration Calibrated [ug/m3],PM10 24-Hour Rolling Mean Mass Concentration Raw [ug/m3],PM10 24-Hour Rolling Mean Number Concentration [#/cm3],PM10 1-Hour Mean AQI (WA DWER),NO2 1-Hour Mean Concentration Calibrated [ppb],NO2 1-Hour Mean Concentration Raw [ppb],NO2 1-Hour Mean AQI (US EPA),NO2 1-Hour Mean AQI (WA DWER),O3 1-Hour Mean Concentration Raw [ppb],Temperature Internal 1-Hour Mean [degC],Temperature Ambient 1-Hour Mean [degC],Rel. Humidity Internal 1-Hour Mean [%],Rel. Humidity Ambient 1-Hour Mean [%],Wind Speed 1-Hour Mean [m/s],Wind Direction 1-Hour Mean [degrees],Atmospheric Pressure 1-Hour Mean [hPa],latitude,longitude
A0VTV4M9,2022-04-30T17:00:00.000Z,,8.32,13.88,,13.05,14.43,,45,,34.09,30.68,13,,14.75,14.53,,41.33,30.93,15,,-4.25,,,,19.16,,45.42,,,,,44.010408,20.91121
A3QK8XR1,2022-04-30T17:00:00.000Z,,6.29,11.7,,8.68,12.18,,40,,23.81,27.9,9,,11.06,12.23,,30.44,28.07,11,,2.82,3,3,,21.21,,39.26,,,,,44.010408,20.91121
A0VTV4M9,2022-04-30T16:00:00.000Z,,4.36,8.95,,7.44,9.3,,36,,35.59,32.37,7,,8.08,9.36,,43.29,32.63,8,,-9.18,,,,20.09,,42.41,,,,,44.010408,20.91121
A3QK8XR1,2022-04-30T16:00:00.000Z,,6.38,11.61,,9.25,12.11,,44,,24.93,29.08,9,,11.76,12.17,,32,29.27,12,,2.51,2,3,,21.23,,39.41,,,,,44.010408,20.91121
A0VTV4M9,2022-04-30T15:00:00.000Z,,5.58,10.28,,8.67,10.64,,40,,36.21,32.95,9,,9.32,10.71,,43.95,33.21,9,,-10.22,,,,20.28,,42.12,,,,,44.010408,20.91121
A3QK8XR1,2022-04-30T15:00:00.000Z,,7.27,13.17,,10.55,13.7,,49,,25.61,29.8,11,,13.58,13.78,,32.9,29.99,14,,3.08,3,3,,21.23,,39.57,,,,,44.010408,20.91121
A0VTV4M9,2022-04-30T14:00:00.000Z,,5.6,10.4,,8.68,10.73,,44,,36.86,33.54,9,,9.15,10.79,,44.64,33.81,9,,-11.37,,,,20.18,,42.75,,,,,44.010408,20.91121
A3QK8XR1,2022-04-30T14:00:00.000Z,,7.74,13.5,,10.92,14.11,,52,,26.26,30.49,11,,13.69,14.17,,33.67,30.68,14,,2.57,2,3,,21.24,,39.68,,,,,44.010408,20.91121
A0VTV4M9,2022-04-30T13:00:00.000Z,,6.12,11.42,,9.47,11.82,,52,,37.52,34.16,9,,9.86,11.88,,45.36,34.43,10,,-11.3,,,,19.86,,44.05,,,,,44.010408,20.91121
A3QK8XR1,2022-04-30T13:00:00.000Z,,8.69,14.94,,12.89,15.67,,56,,26.73,30.99,13,,15.9,15.75,,34.24,31.19,16,,2.6,2,3,,21.25,,39.95,,,,,44.010408,20.91121
A0VTV4M9,2022-04-30T12:00:00.000Z,,7.36,12.64,,12.24,13.19,,59,,37.76,34.35,12,,13.2,13.28,,45.63,34.62,13,,-12.62,,,,19.63,,45.39,,,,,44.010408,20.91121
A3QK8XR1,2022-04-30T12:00:00.000Z,,9.78,16.88,,14.76,17.71,,60,,26.95,31.23,15,,18.05,17.8,,34.55,31.43,18,,3.13,3,3,,21.25,,40.25,,,,,44.010408,20.91121
A0VTV4M9,2022-04-30T11:00:00.000Z,,9.4,15.02,,14.65,15.73,,66,,37.74,34.34,15,,15.5,15.81,,45.62,34.61,16,,-12.33,,,,19.42,,48.07,,,,,44.010408,20.91121
A3QK8XR1,2022-04-30T11:00:00.000Z,,10.81,18.14,,16.01,19.09,,65,,26.93,31.2,16,,20.29,19.19,,34.62,31.4,20,,3.55,3,4,,21.24,,40.56,,,,,44.010408,20.91121
A0VTV4M9,2022-04-30T10:00:00.000Z,,11.76,17.98,,20.01,18.97,,77,,37.71,34.28,20,,21.7,19.09,,45.62,34.55,22,,-8.9,,,,18.62,,52.87,,,,,44.010408,20.91121
A3QK8XR1,2022-04-30T10:00:00.000Z,,11.58,19.54,,17.68,20.48,,69,,27.05,31.3,18,,21.92,20.6,,34.8,31.5,22,,3.67,3,4,,21.22,,40.81,,,,,44.010408,20.91121
A0VTV4M9,2022-04-30T09:00:00.000Z,,12.59,18.79,,20.87,19.81,,85,,37.89,34.47,21,,22.9,19.93,,45.83,34.74,23,,-6.06,,,,17.61,,56.76,,,,,44.010408,20.91121
A3QK8XR1,2022-04-30T09:00:00.000Z,,13.16,22.07,,19.6,23.15,,76,,27.13,31.4,20,,23.73,23.26,,34.88,31.6,24,,5.45,5,5,,21.12,,41.22,,,,,44.010408,20.91121
A0VTV4M9,2022-04-30T08:00:00.000Z,,14.68,20.38,,23.31,21.42,,103,,38.29,34.78,23,,25.18,21.56,,46.27,35.05,25,,-1.48,,,,16.01,,61.94,,,,,44.010408,20.91121
A3QK8XR1,2022-04-30T08:00:00.000Z,,17.15,27.66,,26.11,29.04,,82,,27.36,31.6,26,,33.31,29.23,,35.15,31.81,33,,5.5,5,6,,20.99,,40.9,,,,,44.010408,20.91121
A0VTV4M9,2022-04-30T07:00:00.000Z,,29.65,40.79,,48.36,43.11,,131,,38.43,34.84,48,,60.63,43.48,,46.47,35.12,61,,5.48,5,5,,14.42,,66.77,,,,,44.010408,20.91121
A3QK8XR1,2022-04-30T07:00:00.000Z,,19.87,31.36,,30.11,32.93,,84,,27.39,31.66,30,,36.73,33.11,,35.21,31.86,37,,6.42,6,6,,20.89,,40.32,,,,,44.010408,20.91121
A0VTV4M9,2022-04-30T06:00:00.000Z,,32.45,43.23,,52.88,45.67,,131,,37.44,33.94,53,,67.7,46.1,,45.06,34.2,68,,8.73,8,9,,12.53,,68.96,,,,,44.010408,20.91121
A3QK8XR1,2022-04-30T06:00:00.000Z,,17.71,28.69,,27.05,30.06,,79,,27.22,31.46,27,,33.75,30.26,,35.15,31.67,34,,5.37,5,5,,20.81,,39.41,,,,,44.010408,20.91121
A0VTV4M9,2022-04-30T05:00:00.000Z,,29.27,35.64,,48.98,37.64,,126,,36.5,32.98,49,,62.19,38.05,,43.63,33.24,62,,9.96,9,10,,10.64,,71.01,,,,,44.010408,20.91121
A3QK8XR1,2022-04-30T05:00:00.000Z,,15.74,25.95,,24.86,27.24,,76,,27.58,31.85,25,,30.12,27.43,,35.65,32.06,30,,3.86,4,4,,20.81,,38.66,,,,,44.010408,20.91121
A0VTV4M9,2022-04-30T04:00:00.000Z,,26.08,30,,44.06,31.7,,122,,36.25,32.76,44,,51.83,31.96,,43.27,33.02,52,,11.1,10,11,,9.41,,71.53,,,,,44.010408,20.91121
A3QK8XR1,2022-04-30T04:00:00.000Z,,14.53,23.65,,20.79,24.7,,74,,27.98,32.21,21,,25.52,24.83,,36.3,32.43,26,,2.49,2,2,,20.84,,38.05,,,,,44.010408,20.91121
A0VTV4M9,2022-04-30T03:00:00.000Z,,23.72,27.39,,40.06,28.86,,118,,36.12,32.66,40,,46.98,29.1,,43.2,32.92,47,,8.77,8,9,,9.31,,68.99,,,,,44.010408,20.91121
A3QK8XR1,2022-04-30T03:00:00.000Z,,14.91,24.51,,22.8,25.68,,79,,28.3,32.41,23,,28.41,25.84,,36.76,32.63,28,,1.73,2,2,,20.89,,38.12,,,,,44.010408,20.91121
A0VTV4M9,2022-04-30T02:00:00.000Z,,27.11,31.78,,43.99,33.49,,123,,36.39,32.91,44,,52.96,33.77,,43.67,33.18,53,,8.67,8,9,,9.71,,69.71,,,,,44.010408,20.91121
A3QK8XR1,2022-04-30T02:00:00.000Z,,16.77,27.17,,24.98,28.47,,84,,28.54,32.6,25,,32.07,28.67,,37,32.82,32,,1.88,2,2,,20.94,,38.8,,,,,44.010408,20.91121
A0VTV4M9,2022-04-30T01:00:00.000Z,,26.2,30.95,,43.2,32.65,,125,,36.57,33.08,43,,49.91,32.91,,44,33.35,50,,9.54,9,10,,10.07,,69.4,,,,,44.010408,20.91121
A3QK8XR1,2022-04-30T01:00:00.000Z,,16.99,28.21,,25.76,29.55,,87,,28.74,32.7,26,,32.3,29.74,,37.18,32.92,32,,2.31,2,2,,20.99,,39.32,,,,,44.010408,20.91121
A0VTV4M9,2022-04-30T00:00:00.000Z,,27.48,32.79,,44.73,34.53,,130,,36.7,33.25,45,,54.44,34.86,,44.38,33.53,54,,9.28,9,9,,10.53,,68.77,,,,,44.010408,20.91121
A3QK8XR1,2022-04-30T00:00:00.000Z,,19.88,31.8,,29.63,33.26,,92,,28.87,32.74,30,,35.59,33.45,,37.29,32.96,36,,2.7,3,3,,21.04,,39.89,,,,,44.010408,20.91121
A0VTV4M9,2022-04-29T23:00:00.000Z,,31.36,40.12,,48.93,42.25,,136,,36.61,33.27,49,,59.94,42.55,,44.28,33.55,60,,9.65,9,10,,11.11,,68.01,,,,,44.010408,20.91121
A3QK8XR1,2022-04-29T23:00:00.000Z,,21.43,35.39,,32.35,37.06,,97,,28.75,32.53,32,,42.19,37.32,,37.15,32.76,42,,3.33,3,3,,21.08,,40.66,,,,,44.010408,20.91121
A0VTV4M9,2022-04-29T22:00:00.000Z,,32.1,41.69,,50.94,43.86,,139,,36.13,32.75,51,,64.7,44.22,,43.6,33.03,65,,10.37,10,10,,11.64,,67.65,,,,,44.010408,20.91121
A3QK8XR1,2022-04-29T22:00:00.000Z,,22.7,37.64,,34.05,39.36,,101,,28.65,32.32,34,,45.32,39.65,,36.92,32.55,45,,3.91,4,4,,21.11,,41.67,,,,,44.010408,20.91121
A0VTV4M9,2022-04-29T21:00:00.000Z,,31.43,42.78,,50.3,45.04,,138,,36.09,32.71,50,,63.15,45.41,,43.5,33,63,,10.1,10,10,,12.42,,66.81,,,,,44.010408,20.91121
A3QK8XR1,2022-04-29T21:00:00.000Z,,23.66,39.5,,35.5,41.34,,105,,28.79,32.39,36,,45.94,41.59,,37.11,32.61,46,,6.03,6,6,,21.1,,43.26,,,,,44.010408,20.91121
A0VTV4M9,2022-04-29T20:00:00.000Z,,32.57,46.16,,50.81,48.49,,139,,35.97,32.51,51,,63.79,48.85,,43.33,32.8,64,,10.63,10,11,,13.24,,65.62,,,,,44.010408,20.91121
A3QK8XR1,2022-04-29T20:00:00.000Z,,26.7,48.09,,41.22,50.42,,109,,29.06,32.77,41,,55.93,50.81,,37.54,33,56,,7.22,7,7,,21.19,,43.57,,,,,44.010408,20.91121
A0VTV4M9,2022-04-29T19:00:00.000Z,,36.67,57.71,,57.37,60.72,,140,,35.88,32.24,57,,73.53,61.22,,43.23,32.53,74,,9.02,9,9,,14.26,,63.34,,,,,44.010408,20.91121
A3QK8XR1,2022-04-29T19:00:00.000Z,,26.24,47.93,,40.17,50.23,,103,,28.59,31.98,40,,55.12,50.57,,36.79,32.21,55,,6.85,6,7,,21.33,,43.35,,,,,44.010408,20.91121
A0VTV4M9,2022-04-29T18:00:00.000Z,,35.17,59.25,,55.2,62.27,,125,,35.33,31.26,55,,70.54,62.8,,42.45,31.55,71,,10.99,10,11,,15.51,,60.85,,,,,44.010408,20.91121
A3QK8XR1,2022-04-29T18:00:00.000Z,,23.45,40.04,,35.82,42.02,,95,,28.19,31.24,36,,48.16,42.33,,36.03,31.46,48,,8.7,8,9,,21.45,,43.71,,,,,44.010408,20.91121
A0VTV4M9,2022-04-29T17:00:00.000Z,,31.37,52.27,,49.11,54.95,,101,,34.83,30.19,49,,61.84,55.42,,41.69,30.47,62,,6.05,6,6,,16.66,,56.94,,,,,44.010408,20.91121
A3QK8XR1,2022-04-29T17:00:00.000Z,,22.83,38.63,,35.34,40.61,,88,,27.88,30.75,35,,48.52,40.93,,35.53,30.97,49,,10.14,10,10,,21.49,,44.89,,,,,44.010408,20.91121
A0VTV4M9,2022-04-29T16:00:00.000Z,,15.58,22.33,,22.17,23.23,,72,,34.46,29.31,22,,23.97,23.35,,41.12,29.58,24,,-0.65,,,,17.33,,53.57,,,,,44.010408,20.91121
A3QK8XR1,2022-04-29T16:00:00.000Z,,17.5,27.98,,25.62,29.31,,77,,27.41,30.15,26,,33.37,29.52,,34.8,30.36,33,,7.56,7,8,,21.4,,44.8,,,,,44.010408,20.91121
A0VTV4M9,2022-04-29T15:00:00.000Z,,16.65,23.88,,24.33,24.89,,72,,34.96,29.56,24,,25.82,25.02,,41.75,29.84,26,,-1.8,,,,17.6,,52.9,,,,,44.010408,20.91121
A3QK8XR1,2022-04-29T15:00:00.000Z,,17.99,28.83,,26.17,30.22,,74,,27.45,30.1,26,,32.23,30.39,,34.84,30.32,32,,6.64,6,7,,21.33,,43.92,,,,,44.010408,20.91121
A0VTV4M9,2022-04-29T14:00:00.000Z,,17.06,24.44,,24.45,25.51,,68,,35.21,29.6,24,,26.29,25.63,,42.07,29.88,26,,-1.99,,,,17.81,,53.02,,,,,44.010408,20.91121
A3QK8XR1,2022-04-29T14:00:00.000Z,,15.31,24.98,,22.35,26.08,,68,,27.62,30.21,22,,27.28,26.22,,35.07,30.43,27,,5.13,5,5,,21.23,,42.9,,,,,44.010408,20.91121
A0VTV4M9,2022-04-29T13:00:00.000Z,,10.47,15.81,,15.23,16.49,,59,,35.81,30.01,15,,16.42,16.57,,42.95,30.3,16,,-3.89,,,,17.88,,51.95,,,,,44.010408,20.91121
A3QK8XR1,2022-04-29T13:00:00.000Z,,12.23,20.47,,18.16,21.48,,63,,28.11,30.69,18,,23.42,21.61,,35.82,30.92,23,,5.51,5,6,,21.18,,43.11,,,,,44.010408,20.91121
A0VTV4M9,2022-04-29T12:00:00.000Z,,8.12,12.42,,11.74,12.86,,59,,36.51,30.51,12,,13.04,12.96,,43.8,30.81,13,,-3.26,,,,17.58,,52.79,,,,,44.010408,20.91121
A3QK8XR1,2022-04-29T12:00:00.000Z,,9.11,16.21,,14.11,16.95,,63,,28.51,31.06,14,,19.55,17.08,,36.35,31.29,20,,5.3,5,5,,21.19,,42.63,,,,,44.010408,20.91121
A0VTV4M9,2022-04-29T11:00:00.000Z,,9.08,13.78,,14.06,14.39,,69,,37.21,31.02,14,,15.43,14.47,,44.65,31.33,15,,-3.66,,,,17.22,,53.55,,,,,44.010408,20.91121
