Device ID,Time [UTC+00:00],PM1 1-Hour Mean Mass Concentration Calibrated [ug/m3],PM1 1-Hour Mean Mass Concentration Raw [ug/m3],PM1 1-Hour Mean Number Concentration [#/cm3],PM2.5 1-Hour Mean Mass Concentration Calibrated [ug/m3],PM2.5 1-Hour Mean Mass Concentration Raw [ug/m3],PM2.5 1-Hour Mean Number Concentration [#/cm3],PM2.5 NowCast Mass Concentration [ug/m3],PM2.5 NowCast AQI (US EPA),PM2.5 24-Hour Rolling Mean Mass Concentration Calibrated [ug/m3],PM2.5 24-Hour Rolling Mean Mass Concentration Raw [ug/m3],PM2.5 24-Hour Rolling Mean Number Concentration [#/cm3],PM2.5 1-Hour Mean AQI (WA DWER),PM10 1-Hour Mean Mass Concentration Calibrated [ug/m3],PM10 1-Hour Mean Mass Concentration Raw [ug/m3],PM10 1-Hour Mean Number Concentration [#/cm3],PM10 24-Hour Rolling Mean Mass Concentration Calibrated [ug/m3],PM10 24-Hour Rolling Mean Mass Concentration Raw [ug/m3],PM10 24-Hour Rolling Mean Number Concentration [#/cm3],PM10 1-Hour Mean AQI (WA DWER),NO2 1-Hour Mean Concentration Calibrated [ppb],NO2 1-Hour Mean Concentration Raw [ppb],NO2 1-Hour Mean AQI (US EPA),NO2 1-Hour Mean AQI (WA DWER),O3 1-Hour Mean Concentration Raw [ppb],Temperature Internal 1-Hour Mean [degC],Temperature Ambient 1-Hour Mean [degC],Rel. Humidity Internal 1-Hour Mean [%],Rel. Humidity Ambient 1-Hour Mean [%],Wind Speed 1-Hour Mean [m/s],Wind Direction 1-Hour Mean [degrees],Atmospheric Pressure 1-Hour Mean [hPa],latitude,longitude
A0VTV4M9,2022-08-31T17:00:00.000Z,,23.65,43.88,,34.54,46.03,,93,,40.54,53.49,35,,39.88,46.2,,47.69,53.73,40,,15.79,15,16,,25.58,,65.51,,,,,44.010408,20.91121
A3QK8XR1,2022-08-31T17:00:00.000Z,,22.93,42.96,,33.05,44.97,,101,,35.99,49.63,33,,39.9,45.12,,45.49,49.85,40,,6.87,6,7,,25.9,,60.89,,,,,44.010408,20.91121
A0VTV4M9,2022-08-31T16:00:00.000Z,,20.55,36.69,,30.18,38.4,,89,,40.89,54.22,30,,32.21,38.54,,48.21,54.47,32,,-3.2,,,,26.44,,59.73,,,,,44.010408,20.91121
A3QK8XR1,2022-08-31T16:00:00.000Z,,22.58,42.14,,32.95,44.18,,103,,36.25,50.09,33,,39.34,44.32,,45.91,50.31,39,,5.86,6,6,,25.88,,60.69,,,,,44.010408,20.91121
A0VTV4M9,2022-08-31T15:00:00.000Z,,20.82,37.01,,30.18,38.77,,89,,41.27,54.92,30,,32.41,38.89,,48.79,55.17,32,,-2.7,,,,26.93,,60.49,,,,,44.010408,20.91121
A3QK8XR1,2022-08-31T15:00:00.000Z,,23.63,45.27,,34.49,47.47,,107,,36.44,50.5,34,,42.44,47.63,,46.27,50.72,42,,6.41,6,6,,25.87,,60.87,,,,,44.010408,20.91121
A0VTV4M9,2022-08-31T14:00:00.000Z,,20.06,35.54,,29.23,37.21,,88,,41.62,55.64,29,,30.85,37.34,,49.33,55.89,31,,-1.76,,,,27.23,,61.18,,,,,44.010408,20.91121
A3QK8XR1,2022-08-31T14:00:00.000Z,,24.79,48.04,,36.61,50.47,,110,,36.59,50.77,37,,46.91,50.68,,46.52,50.99,47,,6.71,6,7,,25.84,,61.05,,,,,44.010408,20.91121
A0VTV4M9,2022-08-31T13:00:00.000Z,,19.4,34.11,,28.03,35.7,,90,,42.04,56.49,28,,29.36,35.81,,49.98,56.75,29,,-8.99,,,,27.33,,60,,,,,44.010408,20.91121
A3QK8XR1,2022-08-31T13:00:00.000Z,,27.22,55.85,,39.91,58.53,,113,,36.66,50.9,40,,51.53,58.77,,46.56,51.12,52,,6.46,6,6,,25.84,,61.19,,,,,44.010408,20.91121
A0VTV4M9,2022-08-31T12:00:00.000Z,,21.49,38.8,,32.13,40.82,,95,,42.21,56.91,32,,35.48,40.97,,50.25,57.16,35,,-1.81,,,,26.63,,63.13,,,,,44.010408,20.91121
A3QK8XR1,2022-08-31T12:00:00.000Z,,30.93,68.97,,46.44,72.57,,114,,36.46,50.46,46,,61.42,72.97,,46.32,50.69,61,,7.37,7,7,,25.86,,61.66,,,,,44.010408,20.91121
A0VTV4M9,2022-08-31T11:00:00.000Z,,21.86,39.19,,32.2,41.35,,97,,41.89,56.47,32,,35.66,41.46,,49.83,56.72,36,,2.09,2,2,,26.19,,64.87,,,,,44.010408,20.91121
A3QK8XR1,2022-08-31T11:00:00.000Z,,29.17,63.72,,44.05,67.09,,106,,35.43,48.53,44,,57.82,67.45,,44.84,48.74,58,,7.55,7,8,,25.92,,61.64,,,,,44.010408,20.91121
A0VTV4M9,2022-08-31T10:00:00.000Z,,22.82,43.68,,34.52,45.87,,102,,41.52,55.94,35,,39.95,46.04,,49.38,56.19,40,,-3.78,,,,26.48,,64.5,,,,,44.010408,20.91121
A3QK8XR1,2022-08-31T10:00:00.000Z,,24.45,46.87,,36.6,49.38,,98,,34.4,46.72,37,,47.12,49.64,,43.4,46.92,47,,7.46,7,7,,25.97,,61.71,,,,,44.010408,20.91121
A0VTV4M9,2022-08-31T09:00:00.000Z,,22.52,41.45,,33.51,43.52,,105,,40.93,55.02,34,,38.15,43.67,,48.62,55.27,38,,-4.07,,,,25.54,,66.33,,,,,44.010408,20.91121
A3QK8XR1,2022-08-31T09:00:00.000Z,,23.29,44.42,,35.5,46.8,,97,,33.66,45.61,36,,45.86,47.05,,42.38,45.81,46,,8.1,8,8,,25.86,,61.89,,,,,44.010408,20.91121
A0VTV4M9,2022-08-31T08:00:00.000Z,,22.45,40.75,,34.22,42.86,,112,,40.31,54.12,34,,39.21,43.06,,47.84,54.37,39,,-3.6,,,,24.73,,68.18,,,,,44.010408,20.91121
A3QK8XR1,2022-08-31T08:00:00.000Z,,24,45.79,,35.87,48.17,,97,,32.99,44.63,36,,47.43,48.42,,41.48,44.83,47,,8.45,8,8,,25.72,,62.02,,,,,44.010408,20.91121
A0VTV4M9,2022-08-31T07:00:00.000Z,,24.69,45.09,,38.35,47.64,,125,,39.67,53.24,38,,45.04,47.86,,47.03,53.48,45,,3.02,3,3,,23.63,,72.5,,,,,44.010408,20.91121
A3QK8XR1,2022-08-31T07:00:00.000Z,,22.98,42.73,,34.73,44.99,,96,,32.49,43.8,35,,44.02,45.2,,40.72,43.99,44,,9.07,9,9,,25.63,,61.89,,,,,44.010408,20.91121
A0VTV4M9,2022-08-31T06:00:00.000Z,,28.04,51.59,,43.52,54.6,,134,,39.09,52.3,44,,51.98,54.88,,46.25,52.54,52,,13.6,13,14,,22.18,,76.93,,,,,44.010408,20.91121
A3QK8XR1,2022-08-31T06:00:00.000Z,,22.95,42.89,,34.14,45.01,,96,,31.88,42.94,34,,44.34,45.25,,39.91,43.13,44,,10.39,10,10,,25.65,,61.48,,,,,44.010408,20.91121
A0VTV4M9,2022-08-31T05:00:00.000Z,,37.01,75.13,,60.26,79.65,,138,,38.44,51.15,60,,70.81,80.15,,45.32,51.39,71,,18.47,17,18,,20.88,,78.89,,,,,44.010408,20.91121
A3QK8XR1,2022-08-31T05:00:00.000Z,,21.79,40.07,,32.14,42.03,,95,,31.12,41.88,32,,38.44,42.18,,38.89,42.06,38,,7.8,7,8,,25.75,,59.52,,,,,44.010408,20.91121
A0VTV4M9,2022-08-31T04:00:00.000Z,,31.77,60.34,,50.08,63.74,,129,,36.98,48.84,50,,61.28,64.13,,43.48,49.07,61,,17.4,16,17,,20.18,,78.71,,,,,44.010408,20.91121
A3QK8XR1,2022-08-31T04:00:00.000Z,,22.09,40.5,,32.71,42.52,,96,,30.2,40.69,33,,41.04,42.71,,37.85,40.87,41,,5.8,5,6,,25.86,,58.94,,,,,44.010408,20.91121
A0VTV4M9,2022-08-31T03:00:00.000Z,,29.61,54.64,,46.46,57.65,,127,,35.69,46.92,46,,56.38,57.98,,41.79,47.14,56,,17.71,17,18,,20.28,,78.5,,,,,44.010408,20.91121
A3QK8XR1,2022-08-31T03:00:00.000Z,,22.18,39.99,,32.43,42.09,,97,,29.19,39.4,32,,38.25,42.23,,36.6,39.57,38,,5.41,5,5,,25.88,,59.38,,,,,44.010408,20.91121
A0VTV4M9,2022-08-31T02:00:00.000Z,,28.84,51.94,,45.46,54.91,,126,,34.49,45.25,45,,54.85,55.24,,40.26,45.46,55,,15.9,15,16,,20.5,,77.91,,,,,44.010408,20.91121
A3QK8XR1,2022-08-31T02:00:00.000Z,,22.62,42.05,,33.66,44.19,,98,,28.16,38.11,34,,42.38,44.41,,35.43,38.28,42,,4.88,5,5,,25.92,,59.69,,,,,44.010408,20.91121
A0VTV4M9,2022-08-31T01:00:00.000Z,,30.89,59.33,,47.63,62.71,,126,,33.16,43.51,48,,58.26,62.98,,38.59,43.71,58,,15.62,15,16,,20.79,,77.41,,,,,44.010408,20.91121
