Device ID,Time [UTC+00:00],PM1 1-Hour Mean Mass Concentration Calibrated [ug/m3],PM1 1-Hour Mean Mass Concentration Raw [ug/m3],PM1 1-Hour Mean Number Concentration [#/cm3],PM2.5 1-Hour Mean Mass Concentration Calibrated [ug/m3],PM2.5 1-Hour Mean Mass Concentration Raw [ug/m3],PM2.5 1-Hour Mean Number Concentration [#/cm3],PM2.5 NowCast Mass Concentration [ug/m3],PM2.5 NowCast AQI (US EPA),PM2.5 24-Hour Rolling Mean Mass Concentration Calibrated [ug/m3],PM2.5 24-Hour Rolling Mean Mass Concentration Raw [ug/m3],PM2.5 24-Hour Rolling Mean Number Concentration [#/cm3],PM2.5 1-Hour Mean AQI (WA DWER),PM10 1-Hour Mean Mass Concentration Calibrated [ug/m3],PM10 1-Hour Mean Mass Concentration Raw [ug/m3],PM10 1-Hour Mean Number Concentration [#/cm3],PM10 24-Hour Rolling Mean Mass Concentration Calibrated [ug/m3],PM10 24-Hour Rolling Mean Mass Concentration Raw [ug/m3],PM10 24-Hour Rolling Mean Number Concentration [#/cm3],PM10 1-Hour Mean AQI (WA DWER),NO2 1-Hour Mean Concentration Calibrated [ppb],NO2 1-Hour Mean Concentration Raw [ppb],NO2 1-Hour Mean AQI (US EPA),NO2 1-Hour Mean AQI (WA DWER),O3 1-Hour Mean Concentration Raw [ppb],Temperature Internal 1-Hour Mean [degC],Temperature Ambient 1-Hour Mean [degC],Rel. Humidity Internal 1-Hour Mean [%],Rel. Humidity Ambient 1-Hour Mean [%],Wind Speed 1-Hour Mean [m/s],Wind Direction 1-Hour Mean [degrees],Atmospheric Pressure 1-Hour Mean [hPa],latitude,longitude
A0VTV4M9,2022-12-31T10:00:00.000Z,,54.54,86.84,,91.78,91.86,,172,,116.42,115.37,92,,119.91,92.89,,155.39,116.69,120,,7.72,7,8,,9.36,,75.84,,,,,44.010408,20.91121
A3QK8XR1,2022-12-31T10:00:00.000Z,,35.36,78.23,,54.48,82.23,,151,,70.94,102.21,54,,75.84,82.94,,93.59,103.14,76,,7,7,7,,22.01,,34.34,,,,,44.010408,20.91121
A0VTV4M9,2022-12-31T09:00:00.000Z,,59.54,91.41,,99.71,96.55,,174,,115.36,114.04,100,,130.88,97.65,,154.1,115.34,131,,11.49,11,11,,8.15,,78.79,,,,,44.010408,20.91121
A3QK8XR1,2022-12-31T09:00:00.000Z,,36.72,82.15,,56.86,86.29,,152,,70.94,102.04,57,,77.76,87,,93.55,102.96,78,,7.13,7,7,,21.59,,34.3,,,,,44.010408,20.91121
A0VTV4M9,2022-12-31T08:00:00.000Z,,59.25,87.62,,101.48,92.74,,175,,114.46,113.13,101,,133.53,93.84,,153.06,114.42,134,,14.2,13,14,,6.8,,81.11,,,,,44.010408,20.91121
A3QK8XR1,2022-12-31T08:00:00.000Z,,37.63,83.68,,58.02,88.11,,152,,70.96,101.78,58,,79.98,88.82,,93.54,102.71,80,,6.99,7,7,,21.12,,34.01,,,,,44.010408,20.91121
A0VTV4M9,2022-12-31T07:00:00.000Z,,70.36,102.34,,121.76,108.32,,176,,114.47,113.39,122,,162.4,109.74,,153.23,114.68,162,,15.45,15,15,,5.88,,81.32,,,,,44.010408,20.91121
A3QK8XR1,2022-12-31T07:00:00.000Z,,38.57,86.06,,60.04,90.56,,151,,71.17,101.99,60,,82.59,91.35,,93.82,102.94,83,,6.69,6,7,,20.79,,33.8,,,,,44.010408,20.91121
A0VTV4M9,2022-12-31T06:00:00.000Z,,57.39,80.43,,95.26,84.99,,167,,114.06,113.23,95,,131.17,86.07,,152.63,114.51,131,,12.54,12,13,,5.67,,79.23,,,,,44.010408,20.91121
A3QK8XR1,2022-12-31T06:00:00.000Z,,33.54,68.02,,52.32,71.45,,140,,71.15,101.83,52,,72.77,72.11,,93.93,102.78,73,,5.78,5,6,,20.57,,33.81,,,,,44.010408,20.91121
A0VTV4M9,2022-12-31T05:00:00.000Z,,46.56,56.32,,75.48,59.44,,162,,113.4,112.49,75,,105.9,60.18,,151.79,113.76,106,,11.92,11,12,,5.87,,78.4,,,,,44.010408,20.91121
A3QK8XR1,2022-12-31T05:00:00.000Z,,31.05,58.95,,48.22,61.95,,137,,70.95,101.34,48,,65.54,62.45,,93.59,102.29,66,,5.52,5,6,,20.48,,34.24,,,,,44.010408,20.91121
