Device ID,Time [UTC+00:00],PM1 1-Hour Mean Mass Concentration Calibrated [ug/m3],PM1 1-Hour Mean Mass Concentration Raw [ug/m3],PM1 1-Hour Mean Number Concentration [#/cm3],PM2.5 1-Hour Mean Mass Concentration Calibrated [ug/m3],PM2.5 1-Hour Mean Mass Concentration Raw [ug/m3],PM2.5 1-Hour Mean Number Concentration [#/cm3],PM2.5 NowCast Mass Concentration [ug/m3],PM2.5 NowCast AQI (US EPA),PM2.5 24-Hour Rolling Mean Mass Concentration Calibrated [ug/m3],PM2.5 24-Hour Rolling Mean Mass Concentration Raw [ug/m3],PM2.5 24-Hour Rolling Mean Number Concentration [#/cm3],PM2.5 1-Hour Mean AQI (WA DWER),PM10 1-Hour Mean Mass Concentration Calibrated [ug/m3],PM10 1-Hour Mean Mass Concentration Raw [ug/m3],PM10 1-Hour Mean Number Concentration [#/cm3],PM10 24-Hour Rolling Mean Mass Concentration Calibrated [ug/m3],PM10 24-Hour Rolling Mean Mass Concentration Raw [ug/m3],PM10 24-Hour Rolling Mean Number Concentration [#/cm3],PM10 1-Hour Mean AQI (WA DWER),NO2 1-Hour Mean Concentration Calibrated [ppb],NO2 1-Hour Mean Concentration Raw [ppb],NO2 1-Hour Mean AQI (US EPA),NO2 1-Hour Mean AQI (WA DWER),O3 1-Hour Mean Concentration Raw [ppb],Temperature Internal 1-Hour Mean [degC],Temperature Ambient 1-Hour Mean [degC],Rel. Humidity Internal 1-Hour Mean [%],Rel. Humidity Ambient 1-Hour Mean [%],Wind Speed 1-Hour Mean [m/s],Wind Direction 1-Hour Mean [degrees],Atmospheric Pressure 1-Hour Mean [hPa],latitude,longitude
A0VTV4M9,2023-01-31T16:00:00.000Z,,40.11,46.29,,65.72,48.65,,128,,64.48,46.98,66,,86.96,49.18,,91.52,47.64,87,,16.37,15,16,,3.94,,78.94,,,,,44.010408,20.91121
A3QK8XR1,2023-01-31T16:00:00.000Z,,16.17,26.1,,26.02,27.4,,66,,39.44,49.26,26,,35.07,27.61,,54.56,49.8,35,,12.29,12,12,,19.77,,33.39,,,,,44.010408,20.91121
A0VTV4M9,2023-01-31T15:00:00.000Z,,18.09,17.73,,30.18,18.63,,82,,66.23,48.53,30,,39.15,18.83,,94.5,49.23,39,,14.38,14,14,,3.98,,77.44,,,,,44.010408,20.91121
A3QK8XR1,2023-01-31T15:00:00.000Z,,6.32,11.5,,10.71,12.05,,53,,40.62,50.93,11,,15.55,12.18,,56.36,51.5,16,,9.28,9,9,,19.8,,31.8,,,,,44.010408,20.91121
A0VTV4M9,2023-01-31T14:00:00.000Z,,11.83,13.16,,20.18,13.77,,76,,68.88,50.79,20,,25.69,13.92,,98.69,51.52,26,,11.03,10,11,,4.76,,72.87,,,,,44.010408,20.91121
A3QK8XR1,2023-01-31T14:00:00.000Z,,7.12,12.8,,12.16,13.46,,57,,42.62,53.68,12,,20.54,13.62,,59.23,54.28,21,,8.94,8,9,,19.82,,31.55,,,,,44.010408,20.91121
A0VTV4M9,2023-01-31T13:00:00.000Z,,17.3,18.2,,30.47,19.1,,83,,72,53.39,30,,39.28,19.34,,103.49,54.17,39,,5.56,5,6,,6.05,,67,,,,,44.010408,20.91121
A3QK8XR1,2023-01-31T13:00:00.000Z,,9.67,16.24,,14.19,17.03,,63,,44.61,56.35,14,,19.88,17.14,,61.92,56.99,20,,8.24,8,8,,19.84,,31.14,,,,,44.010408,20.91121
A0VTV4M9,2023-01-31T12:00:00.000Z,,13.18,14.77,,21.9,15.45,,77,,73.91,54.79,22,,26.24,15.59,,106.46,55.59,26,,1.81,2,2,,6.1,,63.88,,,,,44.010408,20.91121
A3QK8XR1,2023-01-31T12:00:00.000Z,,11.31,19.08,,18.82,20.02,,71,,46.13,58.04,19,,27.73,20.25,,64.13,58.7,28,,7.79,7,8,,19.8,,30.53,,,,,44.010408,20.91121
A0VTV4M9,2023-01-31T11:00:00.000Z,,14.58,16.28,,25.58,17.06,,83,,76,56.03,26,,33.88,17.25,,109.71,56.86,34,,2.11,2,2,,6.07,,65.01,,,,,44.010408,20.91121
A3QK8XR1,2023-01-31T11:00:00.000Z,,17.26,27.4,,29,28.95,,78,,48.35,61.07,29,,38.33,29.23,,66.96,61.76,38,,7.04,7,7,,19.92,,30.41,,,,,44.010408,20.91121
A0VTV4M9,2023-01-31T10:00:00.000Z,,17.95,19.04,,30.33,19.98,,86,,78.76,58.31,30,,38.38,20.19,,113.93,59.19,38,,1.92,2,2,,5.94,,65.45,,,,,44.010408,20.91121
