Device ID,Time [UTC+00:00],PM1 1-Hour Mean Mass Concentration Calibrated [ug/m3],PM1 1-Hour Mean Mass Concentration Raw [ug/m3],PM1 1-Hour Mean Number Concentration [#/cm3],PM2.5 1-Hour Mean Mass Concentration Calibrated [ug/m3],PM2.5 1-Hour Mean Mass Concentration Raw [ug/m3],PM2.5 1-Hour Mean Number Concentration [#/cm3],PM2.5 NowCast Mass Concentration [ug/m3],PM2.5 NowCast AQI (US EPA),PM2.5 24-Hour Rolling Mean Mass Concentration Calibrated [ug/m3],PM2.5 24-Hour Rolling Mean Mass Concentration Raw [ug/m3],PM2.5 24-Hour Rolling Mean Number Concentration [#/cm3],PM2.5 1-Hour Mean AQI (WA DWER),PM10 1-Hour Mean Mass Concentration Calibrated [ug/m3],PM10 1-Hour Mean Mass Concentration Raw [ug/m3],PM10 1-Hour Mean Number Concentration [#/cm3],PM10 24-Hour Rolling Mean Mass Concentration Calibrated [ug/m3],PM10 24-Hour Rolling Mean Mass Concentration Raw [ug/m3],PM10 24-Hour Rolling Mean Number Concentration [#/cm3],PM10 1-Hour Mean AQI (WA DWER),NO2 1-Hour Mean Concentration Calibrated [ppb],NO2 1-Hour Mean Concentration Raw [ppb],NO2 1-Hour Mean AQI (US EPA),NO2 1-Hour Mean AQI (WA DWER),O3 1-Hour Mean Concentration Raw [ppb],Temperature Internal 1-Hour Mean [degC],Temperature Ambient 1-Hour Mean [degC],Rel. Humidity Internal 1-Hour Mean [%],Rel. Humidity Ambient 1-Hour Mean [%],Wind Speed 1-Hour Mean [m/s],Wind Direction 1-Hour Mean [degrees],Atmospheric Pressure 1-Hour Mean [hPa],latitude,longitude
A0VTV4M9,2022-07-31T17:00:00.000Z,,14.1,25.6,,22.48,27,,63,,27.92,33.99,22,,24.66,27.13,,31.18,34.14,25,,-10.54,,,,26.46,,38.63,,,,,44.010408,20.91121
A3QK8XR1,2022-07-31T17:00:00.000Z,,9.33,18.36,,13,19.06,,55,,18.81,26.46,13,,15.63,19.15,,21.77,26.53,16,,-0.92,,,,27.72,,44.84,,,,,44.010408,20.91121
A0VTV4M9,2022-07-31T16:00:00.000Z,,8.68,16.68,,12.54,17.36,,54,,29.43,36.31,13,,12.89,17.41,,33.11,36.47,13,,-16.24,,,,26.81,,39.77,,,,,44.010408,20.91121
A3QK8XR1,2022-07-31T16:00:00.000Z,,9.97,18.7,,12.81,19.41,,56,,19.96,28.15,13,,15.08,19.47,,23.22,28.23,15,,0,0,0,,27.74,,45.72,,,,,44.010408,20.91121
A0VTV4M9,2022-07-31T15:00:00.000Z,,9.58,18.06,,12.79,18.69,,56,,31.25,38.98,13,,13.6,18.75,,35.47,39.15,14,,-10.26,,,,26.81,,42.95,,,,,44.010408,20.91121
A3QK8XR1,2022-07-31T15:00:00.000Z,,10.57,19.84,,13.65,20.55,,58,,21.09,29.79,14,,15.65,20.61,,24.66,29.87,16,,-0.21,,,,27.75,,46.07,,,,,44.010408,20.91121
A0VTV4M9,2022-07-31T14:00:00.000Z,,10,19.33,,15.3,20.1,,59,,33.18,41.83,15,,16.45,20.2,,37.85,42.01,16,,-9.07,,,,26.7,,44.45,,,,,44.010408,20.91121
A3QK8XR1,2022-07-31T14:00:00.000Z,,11.38,21.44,,15.1,22.18,,60,,22.23,31.52,15,,17.04,22.25,,26.12,31.6,17,,-0.08,,,,27.76,,46.42,,,,,44.010408,20.91121
A0VTV4M9,2022-07-31T13:00:00.000Z,,10.24,19.48,,13.87,20.15,,61,,35.25,45.06,14,,14.27,20.21,,40.29,45.26,14,,-10.97,,,,27.05,,44.66,,,,,44.010408,20.91121
A3QK8XR1,2022-07-31T13:00:00.000Z,,13.1,24.22,,16.14,25.09,,62,,23.19,32.92,16,,18.72,25.14,,27.39,33.01,19,,0.51,0,1,,27.79,,46.91,,,,,44.010408,20.91121
