Device ID,Time [UTC+00:00],PM1 1-Hour Mean Mass Concentration Calibrated [ug/m3],PM1 1-Hour Mean Mass Concentration Raw [ug/m3],PM1 1-Hour Mean Number Concentration [#/cm3],PM2.5 1-Hour Mean Mass Concentration Calibrated [ug/m3],PM2.5 1-Hour Mean Mass Concentration Raw [ug/m3],PM2.5 1-Hour Mean Number Concentration [#/cm3],PM2.5 NowCast Mass Concentration [ug/m3],PM2.5 NowCast AQI (US EPA),PM2.5 24-Hour Rolling Mean Mass Concentration Calibrated [ug/m3],PM2.5 24-Hour Rolling Mean Mass Concentration Raw [ug/m3],PM2.5 24-Hour Rolling Mean Number Concentration [#/cm3],PM2.5 1-Hour Mean AQI (WA DWER),PM10 1-Hour Mean Mass Concentration Calibrated [ug/m3],PM10 1-Hour Mean Mass Concentration Raw [ug/m3],PM10 1-Hour Mean Number Concentration [#/cm3],PM10 24-Hour Rolling Mean Mass Concentration Calibrated [ug/m3],PM10 24-Hour Rolling Mean Mass Concentration Raw [ug/m3],PM10 24-Hour Rolling Mean Number Concentration [#/cm3],PM10 1-Hour Mean AQI (WA DWER),NO2 1-Hour Mean Concentration Calibrated [ppb],NO2 1-Hour Mean Concentration Raw [ppb],NO2 1-Hour Mean AQI (US EPA),NO2 1-Hour Mean AQI (WA DWER),O3 1-Hour Mean Concentration Raw [ppb],Temperature Internal 1-Hour Mean [degC],Temperature Ambient 1-Hour Mean [degC],Rel. Humidity Internal 1-Hour Mean [%],Rel. Humidity Ambient 1-Hour Mean [%],Wind Speed 1-Hour Mean [m/s],Wind Direction 1-Hour Mean [degrees],Atmospheric Pressure 1-Hour Mean [hPa],latitude,longitude
A0VTV4M9,2022-06-30T17:00:00.000Z,,12.81,23.32,,17.72,24.3,,62,,16.52,22.19,18,,18.45,24.37,,17.55,22.28,18,,-3.55,,,,32.36,,43.95,,,,,44.010408,20.91121
A3QK8XR1,2022-06-30T17:00:00.000Z,,12.65,22.69,,17.12,23.66,,63,,15.33,21.05,17,,20.22,23.73,,18.39,21.13,20,,4.25,4,4,,26.61,,52.62,,,,,44.010408,20.91121
A0VTV4M9,2022-06-30T16:00:00.000Z,,11.61,21.57,,15.83,22.44,,61,,16.32,21.95,16,,17.25,22.51,,17.34,22.03,17,,-12.3,,,,33.04,,40.08,,,,,44.010408,20.91121
A3QK8XR1,2022-06-30T16:00:00.000Z,,12.88,23.33,,17.6,24.34,,64,,15.08,20.73,18,,21.13,24.43,,18.12,20.81,21,,3.92,4,4,,26.66,,52.41,,,,,44.010408,20.91121
A0VTV4M9,2022-06-30T15:00:00.000Z,,12.19,22.87,,17.16,23.76,,62,,16.21,21.79,17,,18.11,23.85,,17.2,21.87,18,,-16.38,,,,33.2,,38.45,,,,,44.010408,20.91121
A3QK8XR1,2022-06-30T15:00:00.000Z,,13.04,23.46,,18.41,24.54,,65,,14.81,20.38,18,,20.96,24.61,,17.8,20.46,21,,3.51,3,4,,26.67,,51.9,,,,,44.010408,20.91121
A0VTV4M9,2022-06-30T14:00:00.000Z,,11.9,21.98,,16.34,22.86,,62,,16.08,21.61,16,,16.98,22.93,,17.05,21.69,17,,-20.27,,,,32.98,,37.76,,,,,44.010408,20.91121
A3QK8XR1,2022-06-30T14:00:00.000Z,,13.15,23.39,,17.79,24.42,,65,,14.49,20,18,,20.06,24.49,,17.48,20.08,20,,2.31,2,2,,26.71,,51.64,,,,,44.010408,20.91121
A0VTV4M9,2022-06-30T13:00:00.000Z,,12.77,23.53,,17.7,24.52,,63,,15.85,21.33,18,,18.84,24.6,,16.82,21.41,19,,-18.73,,,,32.66,,39.54,,,,,44.010408,20.91121
A3QK8XR1,2022-06-30T13:00:00.000Z,,13.13,23.97,,18.57,25.02,,66,,14.18,19.63,19,,21.5,25.1,,17.18,19.71,22,,2.79,3,3,,26.77,,51.63,,,,,44.010408,20.91121
A0VTV4M9,2022-06-30T12:00:00.000Z,,12.21,22.9,,17.2,23.82,,63,,15.53,20.94,17,,18.28,23.91,,16.5,21.02,18,,-15.64,,,,32.26,,40.83,,,,,44.010408,20.91121
A3QK8XR1,2022-06-30T12:00:00.000Z,,14.95,26.49,,20.88,27.7,,68,,13.86,19.25,21,,24.11,27.81,,16.81,19.33,24,,2.41,2,2,,26.91,,51.29,,,,,44.010408,20.91121
A0VTV4M9,2022-06-30T11:00:00.000Z,,12.97,23.48,,18.41,24.51,,64,,15.25,20.61,18,,19.26,24.59,,16.2,20.69,19,,-17.14,,,,31.61,,40.72,,,,,44.010408,20.91121
A3QK8XR1,2022-06-30T11:00:00.000Z,,14.57,25.93,,20.28,27.16,,67,,13.44,18.77,20,,25.26,27.29,,16.35,18.84,25,,2.17,2,2,,27.12,,51.16,,,,,44.010408,20.91121
A0VTV4M9,2022-06-30T10:00:00.000Z,,14,25.58,,19.77,26.65,,64,,14.97,20.29,20,,21.28,26.74,,15.92,20.37,21,,-13.43,,,,31,,43.4,,,,,44.010408,20.91121
A3QK8XR1,2022-06-30T10:00:00.000Z,,15.27,27.31,,21.49,28.6,,65,,13.07,18.33,21,,25.28,28.7,,15.88,18.4,25,,2.29,2,2,,27.15,,51.37,,,,,44.010408,20.91121
A0VTV4M9,2022-06-30T09:00:00.000Z,,13.36,24.04,,18.86,25.07,,62,,14.59,19.83,19,,20.08,25.16,,15.5,19.9,20,,-9.87,,,,30.31,,44.73,,,,,44.010408,20.91121
