Device ID,Time [UTC+00:00],PM1 1-Hour Mean Mass Concentration Calibrated [ug/m3],PM1 1-Hour Mean Mass Concentration Raw [ug/m3],PM1 1-Hour Mean Number Concentration [#/cm3],PM2.5 1-Hour Mean Mass Concentration Calibrated [ug/m3],PM2.5 1-Hour Mean Mass Concentration Raw [ug/m3],PM2.5 1-Hour Mean Number Concentration [#/cm3],PM2.5 NowCast Mass Concentration [ug/m3],PM2.5 NowCast AQI (US EPA),PM2.5 24-Hour Rolling Mean Mass Concentration Calibrated [ug/m3],PM2.5 24-Hour Rolling Mean Mass Concentration Raw [ug/m3],PM2.5 24-Hour Rolling Mean Number Concentration [#/cm3],PM2.5 1-Hour Mean AQI (WA DWER),PM10 1-Hour Mean Mass Concentration Calibrated [ug/m3],PM10 1-Hour Mean Mass Concentration Raw [ug/m3],PM10 1-Hour Mean Number Concentration [#/cm3],PM10 24-Hour Rolling Mean Mass Concentration Calibrated [ug/m3],PM10 24-Hour Rolling Mean Mass Concentration Raw [ug/m3],PM10 24-Hour Rolling Mean Number Concentration [#/cm3],PM10 1-Hour Mean AQI (WA DWER),NO2 1-Hour Mean Concentration Calibrated [ppb],NO2 1-Hour Mean Concentration Raw [ppb],NO2 1-Hour Mean AQI (US EPA),NO2 1-Hour Mean AQI (WA DWER),O3 1-Hour Mean Concentration Raw [ppb],Temperature Internal 1-Hour Mean [degC],Temperature Ambient 1-Hour Mean [degC],Rel. Humidity Internal 1-Hour Mean [%],Rel. Humidity Ambient 1-Hour Mean [%],Wind Speed 1-Hour Mean [m/s],Wind Direction 1-Hour Mean [degrees],Atmospheric Pressure 1-Hour Mean [hPa],latitude,longitude
A0VTV4M9,2022-05-31T17:00:00.000Z,,14.37,24.63,,22.83,25.89,,71,,36.39,36.56,23,,25.79,26.04,,44.86,36.88,26,,6.23,6,6,,22.68,,68.24,,,,,44.010408,20.91121
A3QK8XR1,2022-05-31T17:00:00.000Z,,12.09,20.86,,19.89,22.07,,67,,25.61,29.11,20,,26.7,22.28,,34.12,29.35,27,,12.04,11,12,,23.8,,61.07,,,,,44.010408,20.91121
A0VTV4M9,2022-05-31T16:00:00.000Z,,11.83,20.12,,18.95,21.22,,69,,36.01,36.06,19,,21.21,21.35,,44.42,36.38,21,,1.16,1,1,,23.21,,65.33,,,,,44.010408,20.91121
A3QK8XR1,2022-05-31T16:00:00.000Z,,12.95,21.61,,20.14,22.84,,67,,25.17,28.68,20,,25.1,22.99,,33.58,28.91,25,,10.73,10,11,,23.73,,60.41,,,,,44.010408,20.91121
A0VTV4M9,2022-05-31T15:00:00.000Z,,9.01,15.85,,14.67,16.65,,72,,35.77,35.76,15,,15.5,16.74,,44.16,36.08,16,,-3.05,,,,23,,63.45,,,,,44.010408,20.91121
A3QK8XR1,2022-05-31T15:00:00.000Z,,11.2,19.04,,17.54,20.18,,67,,24.65,28.17,18,,22.24,20.31,,33.03,28.4,22,,8.44,8,8,,23.61,,58.74,,,,,44.010408,20.91121
A0VTV4M9,2022-05-31T14:00:00.000Z,,19.96,38.96,,32.04,41.13,,88,,35.87,35.88,32,,35.69,41.4,,44.29,36.2,36,,-2.99,,,,22.66,,65.14,,,,,44.010408,20.91121
A3QK8XR1,2022-05-31T14:00:00.000Z,,10.46,18.36,,16.83,19.39,,71,,24.73,28.29,17,,21.22,19.51,,33.19,28.52,21,,8.57,8,9,,23.55,,59.08,,,,,44.010408,20.91121
A0VTV4M9,2022-05-31T13:00:00.000Z,,9.27,15.6,,15.66,16.46,,83,,35.42,35.19,16,,17,16.56,,43.76,35.5,17,,-0.71,,,,22.29,,67.01,,,,,44.010408,20.91121
A3QK8XR1,2022-05-31T13:00:00.000Z,,12,20.64,,19.28,21.89,,81,,25,28.65,19,,26.17,22.04,,33.49,28.88,26,,9.21,9,9,,23.4,,59.41,,,,,44.010408,20.91121
