Device ID,Time [UTC+00:00],PM1 1-Hour Mean Mass Concentration Calibrated [ug/m3],PM1 1-Hour Mean Mass Concentration Raw [ug/m3],PM1 1-Hour Mean Number Concentration [#/cm3],PM2.5 1-Hour Mean Mass Concentration Calibrated [ug/m3],PM2.5 1-Hour Mean Mass Concentration Raw [ug/m3],PM2.5 1-Hour Mean Number Concentration [#/cm3],PM2.5 NowCast Mass Concentration [ug/m3],PM2.5 NowCast AQI (US EPA),PM2.5 24-Hour Rolling Mean Mass Concentration Calibrated [ug/m3],PM2.5 24-Hour Rolling Mean Mass Concentration Raw [ug/m3],PM2.5 24-Hour Rolling Mean Number Concentration [#/cm3],PM2.5 1-Hour Mean AQI (WA DWER),PM10 1-Hour Mean Mass Concentration Calibrated [ug/m3],PM10 1-Hour Mean Mass Concentration Raw [ug/m3],PM10 1-Hour Mean Number Concentration [#/cm3],PM10 24-Hour Rolling Mean Mass Concentration Calibrated [ug/m3],PM10 24-Hour Rolling Mean Mass Concentration Raw [ug/m3],PM10 24-Hour Rolling Mean Number Concentration [#/cm3],PM10 1-Hour Mean AQI (WA DWER),NO2 1-Hour Mean Concentration Calibrated [ppb],NO2 1-Hour Mean Concentration Raw [ppb],NO2 1-Hour Mean AQI (US EPA),NO2 1-Hour Mean AQI (WA DWER),O3 1-Hour Mean Concentration Raw [ppb],Temperature Internal 1-Hour Mean [degC],Temperature Ambient 1-Hour Mean [degC],Rel. Humidity Internal 1-Hour Mean [%],Rel. Humidity Ambient 1-Hour Mean [%],Wind Speed 1-Hour Mean [m/s],Wind Direction 1-Hour Mean [degrees],Atmospheric Pressure 1-Hour Mean [hPa],latitude,longitude
A0VTV4M9,2022-03-31T17:00:00.000Z,,14.08,21.31,,24.19,22.43,,73,,32.43,31.97,24,,31.73,22.65,,44.47,32.33,32,,-0.95,,,,18.6,,50.64,,,,,44.010408,20.91121
A3QK8XR1,2022-03-31T17:00:00.000Z,,13.26,22.95,,22.85,24.16,,73,,31.1,37.19,23,,37.76,24.52,,48.32,37.66,38,,6.76,6,7,,22.64,,38.29,,,,,44.010408,20.91121
A0VTV4M9,2022-03-31T16:00:00.000Z,,13.46,21.18,,23.42,22.3,,71,,33.24,32.83,23,,31.33,22.56,,45.62,33.2,31,,-2.36,,,,19.26,,49.04,,,,,44.010408,20.91121
A3QK8XR1,2022-03-31T16:00:00.000Z,,14.53,25.04,,22.99,26.27,,72,,31.55,37.76,23,,37.04,26.55,,48.82,38.23,37,,10.39,10,10,,22.72,,40.09,,,,,44.010408,20.91121
A0VTV4M9,2022-03-31T15:00:00.000Z,,11.28,17.78,,19.92,18.72,,68,,33.31,32.85,20,,27.96,18.96,,45.68,33.23,28,,-1.59,,,,19.9,,49.15,,,,,44.010408,20.91121
A3QK8XR1,2022-03-31T15:00:00.000Z,,13.8,23.5,,22.6,24.77,,69,,31.66,37.83,23,,37.76,25.1,,48.95,38.31,38,,9.46,9,9,,22.67,,38.51,,,,,44.010408,20.91121
A0VTV4M9,2022-03-31T14:00:00.000Z,,12.14,19.45,,19.9,20.43,,69,,33.72,33.31,20,,26.59,20.63,,46.12,33.69,27,,-6.51,,,,20.78,,46.42,,,,,44.010408,20.91121
A3QK8XR1,2022-03-31T14:00:00.000Z,,12.01,21.05,,19.01,22.11,,66,,32.1,38.4,19,,33.17,22.41,,49.34,38.88,33,,9.56,9,10,,22.96,,37.52,,,,,44.010408,20.91121
A0VTV4M9,2022-03-31T13:00:00.000Z,,13.26,20.95,,22.8,22.02,,69,,33.78,33.37,23,,29.19,22.28,,46.08,33.74,29,,-8.38,,,,21.09,,46.91,,,,,44.010408,20.91121
A3QK8XR1,2022-03-31T13:00:00.000Z,,9.3,16.32,,15.06,17.19,,66,,32.41,38.68,15,,26.8,17.42,,49.56,39.16,27,,8.07,8,8,,23.15,,37.92,,,,,44.010408,20.91121
A0VTV4M9,2022-03-31T12:00:00.000Z,,10.37,16.69,,17.32,17.5,,66,,33.91,33.52,17,,22.25,17.67,,46.21,33.9,22,,-7.86,,,,20.43,,49.49,,,,,44.010408,20.91121
A3QK8XR1,2022-03-31T12:00:00.000Z,,10.06,17.46,,16.77,18.44,,75,,32.59,38.86,17,,26.89,18.67,,49.8,39.34,27,,8.17,8,8,,23.27,,38.47,,,,,44.010408,20.91121
A0VTV4M9,2022-03-31T11:00:00.000Z,,12.72,19.08,,20.6,19.98,,70,,33.98,33.59,21,,26.43,20.16,,46.22,33.97,26,,-1.74,,,,18.85,,54.28,,,,,44.010408,20.91121
A3QK8XR1,2022-03-31T11:00:00.000Z,,20.89,40.09,,33.43,42.31,,89,,32.59,38.9,33,,48.4,42.73,,49.77,39.39,48,,10.52,10,11,,23.24,,39.55,,,,,44.010408,20.91121
