Device ID,Time [UTC+00:00],PM1 1-Hour Mean Mass Concentration Calibrated [ug/m3],PM1 1-Hour Mean Mass Concentration Raw [ug/m3],PM1 1-Hour Mean Number Concentration [#/cm3],PM2.5 1-Hour Mean Mass Concentration Calibrated [ug/m3],PM2.5 1-Hour Mean Mass Concentration Raw [ug/m3],PM2.5 1-Hour Mean Number Concentration [#/cm3],PM2.5 NowCast Mass Concentration [ug/m3],PM2.5 NowCast AQI (US EPA),PM2.5 24-Hour Rolling Mean Mass Concentration Calibrated [ug/m3],PM2.5 24-Hour Rolling Mean Mass Concentration Raw [ug/m3],PM2.5 24-Hour Rolling Mean Number Concentration [#/cm3],PM2.5 1-Hour Mean AQI (WA DWER),PM10 1-Hour Mean Mass Concentration Calibrated [ug/m3],PM10 1-Hour Mean Mass Concentration Raw [ug/m3],PM10 1-Hour Mean Number Concentration [#/cm3],PM10 24-Hour Rolling Mean Mass Concentration Calibrated [ug/m3],PM10 24-Hour Rolling Mean Mass Concentration Raw [ug/m3],PM10 24-Hour Rolling Mean Number Concentration [#/cm3],PM10 1-Hour Mean AQI (WA DWER),NO2 1-Hour Mean Concentration Calibrated [ppb],NO2 1-Hour Mean Concentration Raw [ppb],NO2 1-Hour Mean AQI (US EPA),NO2 1-Hour Mean AQI (WA DWER),O3 1-Hour Mean Concentration Raw [ppb],Temperature Internal 1-Hour Mean [degC],Temperature Ambient 1-Hour Mean [degC],Rel. Humidity Internal 1-Hour Mean [%],Rel. Humidity Ambient 1-Hour Mean [%],Wind Speed 1-Hour Mean [m/s],Wind Direction 1-Hour Mean [degrees],Atmospheric Pressure 1-Hour Mean [hPa],latitude,longitude
A0VTV4M9,2022-11-30T08:00:00.000Z,,5.71,7.89,,10.78,8.26,,53,,34.4,23.76,11,,13.14,8.34,,44.82,24.05,13,,3.28,3,3,,7.16,,66.85,,,,,44.010408,20.91121
A3QK8XR1,2022-11-30T08:00:00.000Z,,4.82,9.4,,8.59,9.9,,37,,23.01,25.6,9,,13.26,10.03,,31.38,25.83,13,,5.28,5,5,,20.58,,33.21,,,,,44.010408,20.91121
A0VTV4M9,2022-11-30T07:00:00.000Z,,8.64,10.65,,15.15,11.16,,57,,35.95,24.65,15,,18.67,11.27,,46.88,24.96,19,,4.29,4,4,,6.77,,67.65,,,,,44.010408,20.91121
A3QK8XR1,2022-11-30T07:00:00.000Z,,4.92,9.55,,8.21,10.01,,38,,23.92,26.47,8,,11.83,10.11,,32.56,26.71,12,,4.24,4,4,,20.64,,32.13,,,,,44.010408,20.91121
A0VTV4M9,2022-11-30T06:00:00.000Z,,6.77,8.89,,12.22,9.23,,57,,37.87,25.8,12,,14.23,9.33,,49.68,26.12,14,,4.25,4,4,,6.52,,68.1,,,,,44.010408,20.91121
A3QK8XR1,2022-11-30T06:00:00.000Z,,6.59,11.98,,10.12,12.54,,42,,25.25,27.93,10,,14.42,12.64,,34.37,28.19,14,,5.12,5,5,,20.62,,32.68,,,,,44.010408,20.91121
A0VTV4M9,2022-11-30T05:00:00.000Z,,8.87,10.64,,16.17,11.16,,63,,39.76,26.8,16,,20.56,11.3,,52.54,27.14,21,,6.29,6,6,,6.33,,70.33,,,,,44.010408,20.91121
A3QK8XR1,2022-11-30T05:00:00.000Z,,5.81,10.99,,9.54,11.53,,43,,26.26,28.86,10,,13.08,11.62,,35.78,29.13,13,,5.26,5,5,,20.39,,32.78,,,,,44.010408,20.91121
A0VTV4M9,2022-11-30T04:00:00.000Z,,11.6,13.63,,20.14,14.32,,67,,41.43,27.68,20,,25.9,14.46,,55.04,28.03,26,,6.47,6,6,,6.39,,70.79,,,,,44.010408,20.91121
A3QK8XR1,2022-11-30T04:00:00.000Z,,6.79,12.08,,10.98,12.65,,46,,27.31,29.86,11,,15.48,12.76,,37.24,30.13,15,,4.17,4,4,,20.14,,32.34,,,,,44.010408,20.91121
