Device ID,Time [UTC+00:00],PM1 1-Hour Mean Mass Concentration Calibrated [ug/m3],PM1 1-Hour Mean Mass Concentration Raw [ug/m3],PM1 1-Hour Mean Number Concentration [#/cm3],PM2.5 1-Hour Mean Mass Concentration Calibrated [ug/m3],PM2.5 1-Hour Mean Mass Concentration Raw [ug/m3],PM2.5 1-Hour Mean Number Concentration [#/cm3],PM2.5 NowCast Mass Concentration [ug/m3],PM2.5 NowCast AQI (US EPA),PM2.5 24-Hour Rolling Mean Mass Concentration Calibrated [ug/m3],PM2.5 24-Hour Rolling Mean Mass Concentration Raw [ug/m3],PM2.5 24-Hour Rolling Mean Number Concentration [#/cm3],PM2.5 1-Hour Mean AQI (WA DWER),PM10 1-Hour Mean Mass Concentration Calibrated [ug/m3],PM10 1-Hour Mean Mass Concentration Raw [ug/m3],PM10 1-Hour Mean Number Concentration [#/cm3],PM10 24-Hour Rolling Mean Mass Concentration Calibrated [ug/m3],PM10 24-Hour Rolling Mean Mass Concentration Raw [ug/m3],PM10 24-Hour Rolling Mean Number Concentration [#/cm3],PM10 1-Hour Mean AQI (WA DWER),NO2 1-Hour Mean Concentration Calibrated [ppb],NO2 1-Hour Mean Concentration Raw [ppb],NO2 1-Hour Mean AQI (US EPA),NO2 1-Hour Mean AQI (WA DWER),O3 1-Hour Mean Concentration Raw [ppb],Temperature Internal 1-Hour Mean [degC],Temperature Ambient 1-Hour Mean [degC],Rel. Humidity Internal 1-Hour Mean [%],Rel. Humidity Ambient 1-Hour Mean [%],Wind Speed 1-Hour Mean [m/s],Wind Direction 1-Hour Mean [degrees],Atmospheric Pressure 1-Hour Mean [hPa],latitude,longitude
A0VTV4M9,2022-10-31T18:00:00.000Z,,,,,,,,,,91.41,102.37,,,,,,114.48,103.36,,,,,,,,,,,,,,44.010408,20.91121
A3QK8XR1,2022-10-31T18:00:00.000Z,,84.72,183.82,,144.41,195.4,,190,,76.87,108.57,144,,194.44,197.66,,101.9,109.59,194,,14.56,14,15,,20.05,,56.15,,,,,44.010408,20.91121
A0VTV4M9,2022-10-31T17:00:00.000Z,,,,,,,,,,91.41,102.37,,,,,,114.48,103.36,,,,,,,,,,,,,,44.010408,20.91121
A3QK8XR1,2022-10-31T17:00:00.000Z,,88.2,192.02,,153.55,204.27,,184,,74.25,105.38,154,,207.31,206.71,,98.37,106.36,207,,14.9,14,15,,20.1,,55.45,,,,,44.010408,20.91121
A0VTV4M9,2022-10-31T16:00:00.000Z,,58.79,121.45,,94.19,128.08,,,,91.41,102.37,94,,107.82,129.07,,114.48,103.36,108,,10.4,10,10,,18.96,,61.81,,,,,44.010408,20.91121
A3QK8XR1,2022-10-31T16:00:00.000Z,,61.6,136.32,,101.07,144.41,,166,,70.37,100.46,101,,127.2,145.69,,93.27,101.37,127,,18.61,18,19,,20.21,,55.6,,,,,44.010408,20.91121
A0VTV4M9,2022-10-31T15:00:00.000Z,,,,,,,,,,93.86,104.96,,,,,,118.98,105.99,,,,,,,,,,,,,,44.010408,20.91121
A3QK8XR1,2022-10-31T15:00:00.000Z,,48.68,108.02,,78.4,114.01,,156,,67.96,96.54,78,,97.98,114.97,,90.45,97.42,98,,15.67,15,16,,20.2,,55.04,,,,,44.010408,20.91121
A0VTV4M9,2022-10-31T14:00:00.000Z,,,,,,,,,,93.86,104.96,,,,,,118.98,105.99,,,,,,,,,,,,,,44.010408,20.91121
A3QK8XR1,2022-10-31T14:00:00.000Z,,38.57,81.95,,61.54,86.22,,145,,66.02,93.24,62,,81.17,86.96,,88.12,94.09,81,,11.23,11,11,,20.16,,53.82,,,,,44.010408,20.91121
