Device ID,Time [UTC+00:00],PM1 1-Hour Mean Mass Concentration Calibrated [ug/m3],PM1 1-Hour Mean Mass Concentration Raw [ug/m3],PM1 1-Hour Mean Number Concentration [#/cm3],PM2.5 1-Hour Mean Mass Concentration Calibrated [ug/m3],PM2.5 1-Hour Mean Mass Concentration Raw [ug/m3],PM2.5 1-Hour Mean Number Concentration [#/cm3],PM2.5 NowCast Mass Concentration [ug/m3],PM2.5 NowCast AQI (US EPA),PM2.5 24-Hour Rolling Mean Mass Concentration Calibrated [ug/m3],PM2.5 24-Hour Rolling Mean Mass Concentration Raw [ug/m3],PM2.5 24-Hour Rolling Mean Number Concentration [#/cm3],PM2.5 1-Hour Mean AQI (WA DWER),PM10 1-Hour Mean Mass Concentration Calibrated [ug/m3],PM10 1-Hour Mean Mass Concentration Raw [ug/m3],PM10 1-Hour Mean Number Concentration [#/cm3],PM10 24-Hour Rolling Mean Mass Concentration Calibrated [ug/m3],PM10 24-Hour Rolling Mean Mass Concentration Raw [ug/m3],PM10 24-Hour Rolling Mean Number Concentration [#/cm3],PM10 1-Hour Mean AQI (WA DWER),NO2 1-Hour Mean Concentration Calibrated [ppb],NO2 1-Hour Mean Concentration Raw [ppb],NO2 1-Hour Mean AQI (US EPA),NO2 1-Hour Mean AQI (WA DWER),O3 1-Hour Mean Concentration Raw [ppb],Temperature Internal 1-Hour Mean [degC],Temperature Ambient 1-Hour Mean [degC],Rel. Humidity Internal 1-Hour Mean [%],Rel. Humidity Ambient 1-Hour Mean [%],Wind Speed 1-Hour Mean [m/s],Wind Direction 1-Hour Mean [degrees],Atmospheric Pressure 1-Hour Mean [hPa],latitude,longitude
A0VTV4M9,2022-09-30T17:00:00.000Z,,13.58,22.55,,20.53,23.52,,62,,15.87,18.17,21,,23.46,23.68,,18.38,18.3,23,,9.52,9,10,,21.31,,62.92,,,,,44.010408,20.91121
A3QK8XR1,2022-09-30T17:00:00.000Z,,12.84,22.31,,19.82,23.35,,59,,15.19,17.94,20,,27.54,23.54,,20.93,18.08,28,,10.41,10,10,,22.57,,57.53,,,,,44.010408,20.91121
A0VTV4M9,2022-09-30T16:00:00.000Z,,11.14,19.43,,16.43,20.22,,55,,15.6,17.83,16,,18.46,20.34,,18.07,17.96,18,,6.46,6,6,,22.63,,59.47,,,,,44.010408,20.91121
A3QK8XR1,2022-09-30T16:00:00.000Z,,10.1,18.08,,14.82,18.85,,52,,15.24,17.93,15,,20.42,18.97,,20.99,18.08,20,,9.14,9,9,,22.85,,55.57,,,,,44.010408,20.91121
A0VTV4M9,2022-09-30T15:00:00.000Z,,10.38,18.71,,15.73,19.48,,47,,15.42,17.57,16,,17.17,19.59,,17.88,17.7,17,,-1.49,,,,23.79,,55.56,,,,,44.010408,20.91121
A3QK8XR1,2022-09-30T15:00:00.000Z,,9.22,17.04,,13.48,17.71,,42,,15.14,17.76,13,,18.01,17.83,,20.89,17.91,18,,6.43,6,6,,23.14,,53.33,,,,,44.010408,20.91121
A0VTV4M9,2022-09-30T14:00:00.000Z,,4.53,9.81,,6.77,10.11,,29,,15.24,17.33,7,,7.26,10.16,,17.68,17.46,7,,-12.51,,,,24.22,,52.42,,,,,44.010408,20.91121
A3QK8XR1,2022-09-30T14:00:00.000Z,,4.62,9.4,,6.4,9.74,,28,,14.96,17.52,6,,9.85,9.81,,20.7,17.66,10,,0.25,0,0,,23.4,,50.82,,,,,44.010408,20.91121
A0VTV4M9,2022-09-30T13:00:00.000Z,,4.38,9.56,,6.94,9.86,,30,,15.45,17.51,7,,7.98,9.93,,17.94,17.63,8,,-13.36,,,,24.05,,54.41,,,,,44.010408,20.91121
A3QK8XR1,2022-09-30T13:00:00.000Z,,4.41,9.09,,5.95,9.41,,29,,15.07,17.6,6,,9.27,9.47,,20.83,17.75,9,,0.69,1,1,,23.19,,52.38,,,,,44.010408,20.91121
