Device ID,Time [UTC+00:00],PM1 1-Hour Mean Mass Concentration Calibrated [ug/m3],PM1 1-Hour Mean Mass Concentration Raw [ug/m3],PM1 1-Hour Mean Number Concentration [#/cm3],PM2.5 1-Hour Mean Mass Concentration Calibrated [ug/m3],PM2.5 1-Hour Mean Mass Concentration Raw [ug/m3],PM2.5 1-Hour Mean Number Concentration [#/cm3],PM2.5 NowCast Mass Concentration [ug/m3],PM2.5 NowCast AQI (US EPA),PM2.5 24-Hour Rolling Mean Mass Concentration Calibrated [ug/m3],PM2.5 24-Hour Rolling Mean Mass Concentration Raw [ug/m3],PM2.5 24-Hour Rolling Mean Number Concentration [#/cm3],PM2.5 1-Hour Mean AQI (WA DWER),PM10 1-Hour Mean Mass Concentration Calibrated [ug/m3],PM10 1-Hour Mean Mass Concentration Raw [ug/m3],PM10 1-Hour Mean Number Concentration [#/cm3],PM10 24-Hour Rolling Mean Mass Concentration Calibrated [ug/m3],PM10 24-Hour Rolling Mean Mass Concentration Raw [ug/m3],PM10 24-Hour Rolling Mean Number Concentration [#/cm3],PM10 1-Hour Mean AQI (WA DWER),NO2 1-Hour Mean Concentration Calibrated [ppb],NO2 1-Hour Mean Concentration Raw [ppb],NO2 1-Hour Mean AQI (US EPA),NO2 1-Hour Mean AQI (WA DWER),O3 1-Hour Mean Concentration Raw [ppb],Temperature Internal 1-Hour Mean [degC],Rel. Humidity Internal 1-Hour Mean [%],Wind Speed 1-Hour Mean [m/s],Wind Direction 1-Hour Mean [degrees],latitude,longitude
A5H2PCSZ,2022-05-31T08:00:00.000Z,,21.05,35.14,,34.41,37.35,,91,,32.53,41.28,34,,42.03,37.64,,37.34,41.48,42,,28.99,27,29,,22.73,55.37,,,44.797027,20.528377
AY1R2WBZ,2022-05-31T08:00:00.000Z,,11.81,18.72,,18.1,19.73,,64,,22.86,24.4,18,,19.55,19.83,,26.83,24.58,20,,10.14,10,10,,21,64.84,,,43.0671684,22.4085712
A0VTV4M9,2022-05-31T08:00:00.000Z,,27.25,44.73,,46.04,47.63,,128,,33.66,33.26,46,,59.1,48.08,,40.54,33.53,59,,2.97,3,3,,19.82,71.22,,,44.010408,20.91121
A3QK8XR1,2022-05-31T08:00:00.000Z,,23.82,42.62,,38.09,45.14,,103,,24.32,27.89,38,,52.95,45.56,,31.8,28.09,53,,7.12,7,7,,23.43,55.48,,,44.010408,20.91121
AHVMMMWN,2022-05-31T08:00:00.000Z,,8.18,15.82,,13.35,16.59,,65,,16.47,16.97,13,,15.41,16.68,,18.39,17.07,15,,-12.42,,,,23.77,57.78,,,43.0671684,22.4085712
A2027ZB9,2022-05-31T08:00:00.000Z,,27.77,43.98,,47.74,46.81,,132,,44.67,45.93,48,,62,47.3,,54.51,46.3,62,,20.2,19,20,,20.02,67.12,,,44.797027,20.528377
A9YQLGCC,2022-05-31T08:00:00.000Z,,8.5,15.36,,11.8,16,,59,,15.75,17.65,12,,16.51,16.1,,19.82,17.75,17,,-10.07,,,,25.2,53.02,,,42.5366089,20.2955676
AC8QFXSV,2022-05-31T08:00:00.000Z,,8.68,15.41,,13.59,16.01,,73,,23.85,21.24,14,,15.04,16.12,,28.29,21.43,15,,-68.28,,,,24.96,43.88,,,43.273598233937264,20.002305028664463
AQVRLJYL,2022-05-31T08:00:00.000Z,,19.11,32.02,,28.16,33.7,,96,,42.5,51.68,28,,35.32,33.9,,56.75,52.01,35,,-5.76,,,,24.07,54.39,,,44.664514,20.928384
ABZ0QQ65,2022-05-31T08:00:00.000Z,,11.28,20.85,,17.31,21.82,,65,,27.71,34.57,17,,18.06,21.92,,30.71,34.72,18,,4.45,4,4,,27.45,40.06,,,44.664514,20.928384
RV7PD1M1,2022-05-31T08:00:00.000Z,,,,,15.88,,,62,,18.74,,16,,18.77,,,23.72,,19,,,,,,,,,,44.664084,20.926728999999998
RQMLY1RN,2022-05-31T08:00:00.000Z,,,,,,,,,,,,,,,,,,,,,7.58,7,8,,,,,,44.011572999999984,20.925031
RQCHFQWB,2022-05-31T08:00:00.000Z,,,,,20.27,,,70,,17.9,,20,,22.11,,,18.62,,22,,27.16,26,27,,,,,,44.798745999999994,20.450184
RH91V0ZQ,2022-05-31T08:00:00.000Z,,,,,,,,,,,,,,,,,,,,,4.73,4,5,,,,,,44.652336,20.931675
RNVM05M6,2022-05-31T08:00:00.000Z,,,,,,,,,,,,,,,,,,,,,20.47,19,20,25.72,,,,,44.796958999999994,20.475288
A5H2PCSZ,2022-05-31T07:00:00.000Z,,20.26,33.1,,33.64,35.25,,86,,32.22,41.07,34,,39.82,35.52,,36.76,41.27,40,,28.28,27,28,,21.49,55.75,,,44.797027,20.528377
A0VTV4M9,2022-05-31T07:00:00.000Z,,25.64,38.74,,44.46,41.46,,129,,33.11,32.56,44,,54.99,41.86,,39.61,32.82,55,,3.62,3,4,,18.73,73.39,,,44.010408,20.91121
AQVRLJYL,2022-05-31T07:00:00.000Z,,21.45,34.5,,33.89,36.48,,111,,43.17,52.52,34,,45.02,36.77,,57.68,52.85,45,,-0.12,,,,21.69,60.72,,,44.664514,20.928384
ABZ0QQ65,2022-05-31T07:00:00.000Z,,11.84,21.68,,18.09,22.76,,67,,27.54,34.43,18,,18.85,22.85,,30.54,34.58,19,,6.65,6,7,,26.67,41.55,,,44.664514,20.928384
AY1R2WBZ,2022-05-31T07:00:00.000Z,,11.76,18.82,,19.61,19.83,,65,,23.63,25.1,20,,21.72,19.97,,27.83,25.29,22,,10.36,10,10,,20.63,63.79,,,43.0671684,22.4085712
A3QK8XR1,2022-05-31T07:00:00.000Z,,21.11,34.92,,34.02,37.14,,98,,24.03,27.47,34,,46.6,37.47,,31.19,27.66,47,,8.5,8,8,,23.43,56.06,,,44.010408,20.91121
AC8QFXSV,2022-05-31T07:00:00.000Z,,15.41,22.16,,25.23,23.22,,92,,25.15,22.43,25,,28.74,23.38,,30.55,22.66,29,,0.92,1,1,,18.11,65.21,,,43.273598233937264,20.002305028664463
AHVMMMWN,2022-05-31T07:00:00.000Z,,11.78,19.6,,19.37,20.61,,77,,16.98,17.31,19,,21.38,20.72,,18.88,17.42,21,,-0.3,,,,20.22,68.94,,,43.0671684,22.4085712
A9YQLGCC,2022-05-31T07:00:00.000Z,,11.83,18.73,,16.86,19.59,,69,,16.08,17.87,17,,20.89,19.7,,20.11,17.96,21,,2.6,2,3,,20.98,66.55,,,42.5366089,20.2955676
A2027ZB9,2022-05-31T07:00:00.000Z,,25.98,38.18,,45.22,40.58,,132,,44.3,45.71,45,,56.65,41,,53.79,46.06,57,,11.96,11,12,,19.34,65.77,,,44.797027,20.528377
RNVM05M6,2022-05-31T07:00:00.000Z,,,,,,,,,,,,,,,,,,,,,17.61,17,18,26.19,,,,,44.796958999999994,20.475288
RV7PD1M1,2022-05-31T07:00:00.000Z,,,,,19.94,,,63,,18.94,,20,,24.2,,,24.14,,24,,,,,,,,,,44.664084,20.926728999999998
RH91V0ZQ,2022-05-31T07:00:00.000Z,,,,,,,,,,,,,,,,,,,,,4.82,5,5,,,,,,44.652336,20.931675
RQCHFQWB,2022-05-31T07:00:00.000Z,,,,,23.02,,,71,,17.91,,23,,23.98,,,18.6,,24,,27.17,26,27,,,,,,44.798745999999994,20.450184
RQMLY1RN,2022-05-31T07:00:00.000Z,,,,,,,,,,,,,,,,,,,,,10.99,10,11,,,,,,44.011572999999984,20.925031
A5H2PCSZ,2022-05-31T06:00:00.000Z,,17.38,29.79,,28.55,31.7,,79,,31.95,40.96,29,,32.82,31.93,,36.3,41.16,33,,13.49,13,13,,23.59,49.37,,,44.797027,20.528377
AQVRLJYL,2022-05-31T06:00:00.000Z,,24.18,37.66,,38.64,39.97,,119,,43.48,52.97,39,,53.18,40.27,,58.03,53.3,53,,5.17,5,5,,19.06,68.4,,,44.664514,20.928384
A9YQLGCC,2022-05-31T06:00:00.000Z,,13.91,20.1,,20.44,21.19,,75,,16.82,18.32,20,,24.87,21.29,,20.99,18.42,25,,7.6,7,8,,17.61,74.58,,,42.5366089,20.2955676
