Device ID,Time [UTC+00:00],PM1 1-Hour Mean Mass Concentration Calibrated [ug/m3],PM1 1-Hour Mean Mass Concentration Raw [ug/m3],PM1 1-Hour Mean Number Concentration [#/cm3],PM2.5 1-Hour Mean Mass Concentration Calibrated [ug/m3],PM2.5 1-Hour Mean Mass Concentration Raw [ug/m3],PM2.5 1-Hour Mean Number Concentration [#/cm3],PM2.5 NowCast Mass Concentration [ug/m3],PM2.5 NowCast AQI (US EPA),PM2.5 24-Hour Rolling Mean Mass Concentration Calibrated [ug/m3],PM2.5 24-Hour Rolling Mean Mass Concentration Raw [ug/m3],PM2.5 24-Hour Rolling Mean Number Concentration [#/cm3],PM2.5 1-Hour Mean AQI (WA DWER),PM10 1-Hour Mean Mass Concentration Calibrated [ug/m3],PM10 1-Hour Mean Mass Concentration Raw [ug/m3],PM10 1-Hour Mean Number Concentration [#/cm3],PM10 24-Hour Rolling Mean Mass Concentration Calibrated [ug/m3],PM10 24-Hour Rolling Mean Mass Concentration Raw [ug/m3],PM10 24-Hour Rolling Mean Number Concentration [#/cm3],PM10 1-Hour Mean AQI (WA DWER),NO2 1-Hour Mean Concentration Calibrated [ppb],NO2 1-Hour Mean Concentration Raw [ppb],NO2 1-Hour Mean AQI (US EPA),NO2 1-Hour Mean AQI (WA DWER),O3 1-Hour Mean Concentration Raw [ppb],Temperature Internal 1-Hour Mean [degC],Temperature Ambient 1-Hour Mean [degC],Rel. Humidity Internal 1-Hour Mean [%],Rel. Humidity Ambient 1-Hour Mean [%],Wind Speed 1-Hour Mean [m/s],Wind Direction 1-Hour Mean [degrees],Atmospheric Pressure 1-Hour Mean [hPa],latitude,longitude
A5H2PCSZ,2023-02-28T11:00:00.000Z,,25.58,46.65,,40.82,49.34,,120,,41.67,54.57,41,,49.18,49.67,,50.51,54.97,49,,11.02,10,11,,21.93,,34.45,,,,,44.797027,20.528377
AY1R2WBZ,2023-02-28T11:00:00.000Z,,27.17,47.29,,47.65,50.28,,129,,41.78,38.94,48,,62.47,50.87,,53.83,39.41,62,,15.64,15,16,,19.7,,44.08,,,,,43.0671684,22.4085712
A0VTV4M9,2023-02-28T11:00:00.000Z,,42.21,44.97,,77.17,47.98,,165,,83.82,55.09,77,,116.77,49.01,,125.57,56.2,117,,11.18,11,11,,3.81,,80.37,,,,,44.010408,20.91121
A3QK8XR1,2023-02-28T11:00:00.000Z,,32.13,63.66,,53.97,67.93,,144,,50.82,64.2,54,,75.63,68.73,,69.87,64.85,76,,8.51,8,9,,21.16,,30.72,,,,,44.010408,20.91121
AHVMMMWN,2023-02-28T11:00:00.000Z,,36.52,57.07,,65.75,60.73,,159,,66.02,47.93,66,,90.43,61.6,,98.42,48.7,90,,3.4,3,3,,11.14,,71.1,,,,,43.0671684,22.4085712
A2027ZB9,2023-02-28T11:00:00.000Z,,44.94,49.9,,80.47,53.15,,162,,84.23,55.63,80,,113.74,54.02,,119.46,56.56,114,,14.33,14,14,,4.65,,81.53,,,,,44.797027,20.528377
A9YQLGCC,2023-02-28T11:00:00.000Z,,26.77,33.52,,46.94,35.53,,123,,43.83,27.75,47,,65.5,36.01,,66.27,28.23,66,,-12.03,,,,8.85,,69.77,,,,,42.5366089,20.2955676
AC8QFXSV,2023-02-28T11:00:00.000Z,,2.43,5.58,,6.18,5.78,,26,,9.4,7.43,6,,8.69,5.87,,12.26,7.51,9,,-5.52,,,,8.99,,61.79,,,,,43.273598233937264,20.002305028664463
ABZ0QQ65,2023-02-28T11:00:00.000Z,,15.75,27.79,,25.36,29.26,,76,,22.1,27.4,25,,26.39,29.42,,23.74,27.53,26,,5.45,5,5,,25.38,,26.21,,,,,44.664514,20.928384
RV7PD1M1,2023-02-28T11:00:00.000Z,,,,,19.04,,,64,,17.98,,19,,18.97,,,18.72,,19,,,,,,,,,,,,,44.664084,20.926728999999998
