Device ID,Time [UTC+00:00],PM1 1-Hour Mean Mass Concentration Calibrated [ug/m3],PM1 1-Hour Mean Mass Concentration Raw [ug/m3],PM1 1-Hour Mean Number Concentration [#/cm3],PM2.5 1-Hour Mean Mass Concentration Calibrated [ug/m3],PM2.5 1-Hour Mean Mass Concentration Raw [ug/m3],PM2.5 1-Hour Mean Number Concentration [#/cm3],PM2.5 NowCast Mass Concentration [ug/m3],PM2.5 NowCast AQI (US EPA),PM2.5 24-Hour Rolling Mean Mass Concentration Calibrated [ug/m3],PM2.5 24-Hour Rolling Mean Mass Concentration Raw [ug/m3],PM2.5 24-Hour Rolling Mean Number Concentration [#/cm3],PM2.5 1-Hour Mean AQI (WA DWER),PM10 1-Hour Mean Mass Concentration Calibrated [ug/m3],PM10 1-Hour Mean Mass Concentration Raw [ug/m3],PM10 1-Hour Mean Number Concentration [#/cm3],PM10 24-Hour Rolling Mean Mass Concentration Calibrated [ug/m3],PM10 24-Hour Rolling Mean Mass Concentration Raw [ug/m3],PM10 24-Hour Rolling Mean Number Concentration [#/cm3],PM10 1-Hour Mean AQI (WA DWER),NO2 1-Hour Mean Concentration Calibrated [ppb],NO2 1-Hour Mean Concentration Raw [ppb],NO2 1-Hour Mean AQI (US EPA),NO2 1-Hour Mean AQI (WA DWER),O3 1-Hour Mean Concentration Raw [ppb],Temperature Internal 1-Hour Mean [degC],Temperature Ambient 1-Hour Mean [degC],Rel. Humidity Internal 1-Hour Mean [%],Rel. Humidity Ambient 1-Hour Mean [%],Wind Speed 1-Hour Mean [m/s],Wind Direction 1-Hour Mean [degrees],Atmospheric Pressure 1-Hour Mean [hPa],latitude,longitude
A5H2PCSZ,2023-02-21T16:00:00.000Z,,34.07,74.32,,57.77,78.6,,111,,43.43,63.64,58,,68.14,79.33,,51.32,64.08,68,,19.53,18,20,,23.34,,32.36,,,,,44.797027,20.528377
AY1R2WBZ,2023-02-21T16:00:00.000Z,,8.79,14.4,,15.27,15.05,,66,,39.6,41.59,15,,17.71,15.17,,49.61,41.94,18,,7.81,7,8,,17.35,,39.43,,,,,43.0671684,22.4085712
A0VTV4M9,2023-02-21T16:00:00.000Z,,25.96,39.47,,41.5,41.44,,93,,59.66,54.58,42,,54.16,41.86,,79.75,55.19,54,,2.08,2,2,,17.07,,40.9,,,,,44.010408,20.91121
A3QK8XR1,2023-02-21T16:00:00.000Z,,28.65,55.83,,45.37,58.85,,99,,43.07,59.3,45,,63.07,59.43,,57.62,59.84,63,,14.17,13,14,,22.11,,30.36,,,,,44.010408,20.91121
AHVMMMWN,2023-02-21T16:00:00.000Z,,17.4,26.18,,29.07,27.44,,65,,50.47,37.62,29,,35.37,27.69,,71.78,38.01,35,,9.41,9,9,,14.7,,39.85,,,,,43.0671684,22.4085712
A2027ZB9,2023-02-21T16:00:00.000Z,,57.71,110.7,,101.39,116.88,,156,,58.65,55.8,101,,130.85,118.27,,75.57,56.38,131,,21.16,20,21,,16.99,,42.95,,,,,44.797027,20.528377
A9YQLGCC,2023-02-21T16:00:00.000Z,,17.17,29.8,,28.12,31.46,,73,,31.08,24.1,28,,38.47,31.8,,46.06,24.36,38,,2.27,2,2,,18.46,,36.95,,,,,42.5366089,20.2955676
AC8QFXSV,2023-02-21T16:00:00.000Z,,19.94,30.13,,33.66,31.52,,78,,37.47,27.65,34,,49.03,31.89,,50.27,27.93,49,,19.73,19,20,,13.87,,43.19,,,,,43.273598233937264,20.002305028664463
ABZ0QQ65,2023-02-21T16:00:00.000Z,,20.34,39.14,,31.59,40.99,,85,,41.97,64.13,32,,36.93,41.24,,52.23,64.53,37,,14.18,13,14,,26.2,,25.51,,,,,44.664514,20.928384
A5H2PCSZ,2023-02-21T15:00:00.000Z,,16.56,28.97,,26.54,30.39,,71,,42.47,62.08,27,,30.3,30.62,,50.21,62.5,30,,20.66,19,21,,23.35,,32.79,,,,,44.797027,20.528377
A0VTV4M9,2023-02-21T15:00:00.000Z,,17.78,26.62,,29.25,27.89,,73,,60.62,55.63,29,,34.92,28.13,,81.07,56.26,35,,-0.62,,,,18.12,,39.15,,,,,44.010408,20.91121
AC8QFXSV,2023-02-21T15:00:00.000Z,,8.85,16.37,,16.33,17.12,,59,,37.48,27.55,16,,21.49,17.33,,50.26,27.83,21,,-16.53,,,,21.48,,32.63,,,,,43.273598233937264,20.002305028664463
ABZ0QQ65,2023-02-21T15:00:00.000Z,,15.05,27.07,,22.32,28.26,,79,,41.41,63.41,22,,23.68,28.38,,51.51,63.8,24,,11.27,11,11,,26.9,,24.89,,,,,44.664514,20.928384
AY1R2WBZ,2023-02-21T15:00:00.000Z,,9.2,14.81,,15.97,15.54,,74,,39.21,41.25,16,,18.83,15.67,,49.19,41.6,19,,6.27,6,6,,17.48,,39,,,,,43.0671684,22.4085712
A3QK8XR1,2023-02-21T15:00:00.000Z,,19.63,34.43,,30.48,36.21,,77,,42.86,58.95,30,,40.9,36.48,,57.34,59.49,41,,10.64,10,11,,22.2,,28.77,,,,,44.010408,20.91121
A9YQLGCC,2023-02-21T15:00:00.000Z,,8.72,16.14,,12.94,16.85,,61,,31.22,24.23,13,,15.17,16.96,,46.18,24.49,15,,-10.26,,,,23.69,,30.9,,,,,42.5366089,20.2955676
AHVMMMWN,2023-02-21T15:00:00.000Z,,5.27,10.15,,8.99,10.64,,36,,49.5,36.75,9,,9.86,10.71,,70.65,37.14,10,,0.6,1,1,,19.18,,29.58,,,,,43.0671684,22.4085712
A2027ZB9,2023-02-21T15:00:00.000Z,,22.37,33.45,,36.19,35.07,,86,,57.07,53.56,36,,43.63,35.36,,73.73,54.11,44,,1.96,2,2,,18.69,,38.11,,,,,44.797027,20.528377
A5H2PCSZ,2023-02-21T14:00:00.000Z,,9.78,18.03,,14.9,18.83,,60,,41.85,61.43,15,,16.19,18.93,,49.46,61.85,16,,3.28,3,3,,23.73,,27.83,,,,,44.797027,20.528377
AC8QFXSV,2023-02-21T14:00:00.000Z,,4.59,10.22,,9.81,10.72,,59,,37.12,27.16,10,,13.24,10.86,,49.79,27.44,13,,-40.68,,,,24.06,,28.39,,,,,43.273598233937264,20.002305028664463
AHVMMMWN,2023-02-21T14:00:00.000Z,,3.37,7.26,,6.15,7.58,,35,,49.34,36.53,6,,7.27,7.64,,70.49,36.92,7,,-4.39,,,,20.25,,27.9,,,,,43.0671684,22.4085712
A2027ZB9,2023-02-21T14:00:00.000Z,,13.44,20.6,,22.35,21.59,,71,,56.52,52.91,22,,25.3,21.75,,73.08,53.46,25,,-10.25,,,,19.89,,36.5,,,,,44.797027,20.528377
A0VTV4M9,2023-02-21T14:00:00.000Z,,10.01,16.01,,17,16.75,,59,,60.61,55.52,17,,19.86,16.9,,81.04,56.15,20,,-10.19,,,,18.51,,36.75,,,,,44.010408,20.91121
ABZ0QQ65,2023-02-21T14:00:00.000Z,,17.01,29.79,,24.68,31.14,,85,,40.99,62.93,25,,25.94,31.25,,51.06,63.32,26,,6.97,7,7,,28.1,,23.88,,,,,44.664514,20.928384
A9YQLGCC,2023-02-21T14:00:00.000Z,,12.94,22.86,,19.44,23.97,,70,,31.26,24.23,19,,23.48,24.12,,46.34,24.5,23,,-7.59,,,,23.28,,32.24,,,,,42.5366089,20.2955676
AY1R2WBZ,2023-02-21T14:00:00.000Z,,11.64,18.02,,20.33,18.9,,90,,38.83,40.9,20,,23.58,19.09,,48.75,41.25,24,,4.65,4,5,,17.59,,38.79,,,,,43.0671684,22.4085712
A3QK8XR1,2023-02-21T14:00:00.000Z,,12.4,21.38,,19.8,22.47,,64,,42.62,58.63,20,,26.67,22.65,,56.93,59.17,27,,9.04,9,9,,22.34,,28.78,,,,,44.010408,20.91121
A5H2PCSZ,2023-02-21T13:00:00.000Z,,9.56,17.63,,15.07,18.45,,64,,41.53,61.08,15,,16.47,18.58,,49.13,61.5,16,,3.26,3,3,,24.64,,28.42,,,,,44.797027,20.528377
AHVMMMWN,2023-02-21T13:00:00.000Z,,4.74,9.32,,8.03,9.71,,45,,49.22,36.38,8,,9.16,9.78,,70.34,36.76,9,,-6.77,,,,20.43,,29.17,,,,,43.0671684,22.4085712
AY1R2WBZ,2023-02-21T13:00:00.000Z,,18.18,26.6,,31.06,27.98,,113,,38.35,40.5,31,,37.3,28.27,,48.24,40.84,37,,7.76,7,8,,17.62,,39.75,,,,,43.0671684,22.4085712
A3QK8XR1,2023-02-21T13:00:00.000Z,,10.75,18.83,,17.39,19.84,,60,,42.91,58.9,17,,23.7,20.01,,57.29,59.45,24,,8.28,8,8,,22.44,,28.83,,,,,44.010408,20.91121
AC8QFXSV,2023-02-21T13:00:00.000Z,,13.82,24.67,,23.95,25.93,,71,,36.83,26.86,24,,33.8,26.21,,49.42,27.14,34,,-37.2,,,,23.76,,31.37,,,,,43.273598233937264,20.002305028664463
A2027ZB9,2023-02-21T13:00:00.000Z,,10.53,16.57,,18.37,17.38,,70,,56.63,52.87,18,,21.39,17.55,,73.25,53.43,21,,-12.78,,,,20.32,,35.88,,,,,44.797027,20.528377
A9YQLGCC,2023-02-21T13:00:00.000Z,,16.29,27.87,,25.73,29.3,,73,,30.61,23.48,26,,31.8,29.52,,45.59,23.74,32,,-6.35,,,,22.28,,34.06,,,,,42.5366089,20.2955676
A0VTV4M9,2023-02-21T13:00:00.000Z,,9.09,13.88,,14.94,14.52,,56,,60.87,55.62,15,,17.03,14.64,,81.37,56.25,17,,-14.09,,,,18.33,,36.79,,,,,44.010408,20.91121
ABZ0QQ65,2023-02-21T13:00:00.000Z,,18.75,33.7,,28.05,35.21,,94,,40.42,62.3,28,,30.9,35.37,,50.47,62.69,31,,6.77,6,7,,28.86,,23.53,,,,,44.664514,20.928384
A5H2PCSZ,2023-02-21T12:00:00.000Z,,9.84,18.56,,16.39,19.45,,71,,41.27,60.82,16,,18.65,19.62,,48.85,61.24,19,,11.15,11,11,,25.11,,30.38,,,,,44.797027,20.528377
AY1R2WBZ,2023-02-21T12:00:00.000Z,,29.3,49.88,,46.73,52.3,,138,,37.68,39.92,47,,63.45,52.77,,47.47,40.26,63,,9,8,9,,17.65,,40.12,,,,,43.0671684,22.4085712
A0VTV4M9,2023-02-21T12:00:00.000Z,,6.58,10.97,,11.12,11.46,,55,,60.88,55.57,11,,12.89,11.55,,81.43,56.2,13,,-17.41,,,,17.67,,38.11,,,,,44.010408,20.91121
ABZ0QQ65,2023-02-21T12:00:00.000Z,,21.13,39.08,,31.94,40.89,,108,,39.76,61.51,32,,37.45,41.11,,49.72,61.9,37,,6.23,6,6,,29.39,,23.49,,,,,44.664514,20.928384
AHVMMMWN,2023-02-21T12:00:00.000Z,,4.01,8.58,,7.13,8.91,,54,,49.02,36.12,7,,7.35,8.96,,70.11,36.51,7,,-9.63,,,,19.3,,29.79,,,,,43.0671684,22.4085712
A3QK8XR1,2023-02-21T12:00:00.000Z,,9.26,16.5,,13.99,17.29,,58,,43.41,59.51,14,,18.88,17.42,,57.92,60.06,19,,7.2,7,7,,22.56,,28.15,,,,,44.010408,20.91121
A9YQLGCC,2023-02-21T12:00:00.000Z,,12.6,21.69,,18.39,22.72,,66,,29.75,22.63,18,,22.82,22.86,,44.54,22.88,23,,-10.13,,,,21.67,,35.28,,,,,42.5366089,20.2955676
AC8QFXSV,2023-02-21T12:00:00.000Z,,2.31,5.84,,5.18,6.12,,66,,36.05,26.02,5,,7,6.19,,48.33,26.28,7,,-47.79,,,,22.39,,31.89,,,,,43.273598233937264,20.002305028664463
A2027ZB9,2023-02-21T12:00:00.000Z,,12.89,19.85,,21.89,20.84,,75,,56.47,52.67,22,,24.74,21.01,,73.04,53.22,25,,-9.39,,,,20.21,,36.27,,,,,44.797027,20.528377
RQCHFQWB,2023-02-21T12:00:00.000Z,,,,,9.19,,,35,,8.03,,9,,27.73,,,18.15,,28,,28.67,27,29,,,,,,,,,44.798745999999994,20.450184
RV7PD1M1,2023-02-21T12:00:00.000Z,,,,,9.71,,,48,,36.63,,10,,10.54,,,37.89,,11,,,,,,,,,,,,,44.664084,20.926728999999998
RNVM05M6,2023-02-21T12:00:00.000Z,,,,,,,,,,,,,,,,,,,,,14.59,14,15,62.68,,,,,,,,44.796958999999994,20.475288
RMQF0HMT,2023-02-21T12:00:00.000Z,,,,,12.32,,,57,,24.21,,12,,25.27,,,37.21,,25,,13.12,12,13,50.92,,,,,,,,44.82111999999999,20.459113000000002
RH91V0ZQ,2023-02-21T12:00:00.000Z,,,,,,,,,,,,,,,,,,,,,4.61,4,5,,,,,,,,,44.652336,20.931675
RQMLY1RN,2023-02-21T12:00:00.000Z,,,,,,,,,,,,,,,,,,,,,14.81,14,15,,,,,,,,,44.011572999999984,20.925031
A5H2PCSZ,2023-02-21T11:00:00.000Z,,10.96,19.66,,18.01,20.66,,82,,40.97,60.56,18,,20.18,20.83,,48.53,60.97,20,,2.27,2,2,,25.44,,27.35,,,,,44.797027,20.528377
A0VTV4M9,2023-02-21T11:00:00.000Z,,7.14,10.95,,12.06,11.46,,62,,61.84,56.3,12,,13.74,11.56,,82.79,56.94,14,,-15.81,,,,16.36,,41.84,,,,,44.010408,20.91121
AC8QFXSV,2023-02-21T11:00:00.000Z,,15.43,25.46,,26.44,26.59,,96,,35.98,25.94,26,,37.58,26.91,,48.24,26.2,38,,-33.19,,,,18.85,,37.32,,,,,43.273598233937264,20.002305028664463
A2027ZB9,2023-02-21T11:00:00.000Z,,12.42,19.06,,19.51,19.98,,79,,56.16,52.32,20,,21.96,20.1,,72.72,52.87,22,,-14.68,,,,21.04,,34.88,,,,,44.797027,20.528377
AY1R2WBZ,2023-02-21T11:00:00.000Z,,29.72,50.47,,48.14,52.95,,145,,36.9,38.81,48,,63.76,53.49,,46.42,39.14,64,,10.21,10,10,,17.66,,40.5,,,,,43.0671684,22.4085712
ABZ0QQ65,2023-02-21T11:00:00.000Z,,24.05,47.41,,36.3,49.6,,120,,38.99,60.55,36,,43.55,49.84,,48.77,60.93,44,,2.01,2,2,,30.1,,22.29,,,,,44.664514,20.928384
A9YQLGCC,2023-02-21T11:00:00.000Z,,6.68,12.05,,9.91,12.57,,69,,29.34,22.2,10,,12.33,12.65,,44.05,22.45,12,,-14.49,,,,20.68,,36.01,,,,,42.5366089,20.2955676
AHVMMMWN,2023-02-21T11:00:00.000Z,,6.51,11.85,,10.63,12.3,,67,,48.82,35.87,11,,12.35,12.38,,69.92,36.26,12,,-7.44,,,,17.51,,34.85,,,,,43.0671684,22.4085712
A3QK8XR1,2023-02-21T11:00:00.000Z,,9.03,15.94,,13.98,16.72,,61,,43.77,59.88,14,,19.08,16.86,,58.34,60.43,19,,7.36,7,7,,22.72,,28.56,,,,,44.010408,20.91121
RMQF0HMT,2023-02-21T11:00:00.000Z,,,,,14.49,,,63,,23.98,,14,,30.63,,,36.6,,31,,13.14,12,13,49.92,,,,,,,,44.82111999999999,20.459113000000002
RQMLY1RN,2023-02-21T11:00:00.000Z,,,,,,,,,,,,,,,,,,,,,12.1,11,12,,,,,,,,,44.011572999999984,20.925031
RV7PD1M1,2023-02-21T11:00:00.000Z,,,,,7.93,,,54,,36.61,,8,,9.11,,,37.85,,9,,,,,,,,,,,,,44.664084,20.926728999999998
RNVM05M6,2023-02-21T11:00:00.000Z,,,,,,,,,,,,,,,,,,,,,11.69,11,12,57.8,,,,,,,,44.796958999999994,20.475288
RQCHFQWB,2023-02-21T11:00:00.000Z,,,,,7.8,,,32,,7.79,,8,,21.57,,,17.49,,22,,18.13,17,18,,,,,,,,,44.798745999999994,20.450184
RH91V0ZQ,2023-02-21T11:00:00.000Z,,,,,,,,,,,,,,,,,,,,,4.23,4,4,,,,,,,,,44.652336,20.931675
A5H2PCSZ,2023-02-21T10:00:00.000Z,,14.28,26.39,,20.57,27.47,,100,,40.68,60.33,21,,22.36,27.6,,48.21,60.74,22,,-0.82,,,,26.38,,26.61,,,,,44.797027,20.528377
AC8QFXSV,2023-02-21T10:00:00.000Z,,19.39,29,,34.56,30.28,,113,,35.04,25.03,35,,48.89,30.64,,46.9,25.28,49,,-26.99,,,,15.55,,42.39,,,,,43.273598233937264,20.002305028664463
AHVMMMWN,2023-02-21T10:00:00.000Z,,6.56,10.97,,10.72,11.4,,86,,48.47,35.48,11,,11.74,11.48,,69.51,35.87,12,,-7.87,,,,15.48,,41.19,,,,,43.0671684,22.4085712
A3QK8XR1,2023-02-21T10:00:00.000Z,,8.87,15.86,,14.47,16.67,,68,,43.89,60,14,,19.7,16.8,,58.49,60.56,20,,6.88,6,7,,22.73,,28.2,,,,,44.010408,20.91121
A0VTV4M9,2023-02-21T10:00:00.000Z,,8.97,13.13,,14.77,13.69,,73,,62.26,56.62,15,,17.93,13.81,,83.29,57.27,18,,-10.61,,,,14.26,,46.63,,,,,44.010408,20.91121
A2027ZB9,2023-02-21T10:00:00.000Z,,14.38,22.85,,23.54,23.96,,92,,56.03,52.09,24,,26.4,24.12,,72.58,52.64,26,,-24.43,,,,22.01,,33.36,,,,,44.797027,20.528377
